
Single objective optimization:
24 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.01705         7.8e+05        0
    2              295         0.01705         6.7e+05        1
    3              390         0.01705         6.8e+05        2
    4              485         0.01705         6.8e+05        3
    5              580         0.01705           6e+05        4
    6              675         0.01705         5.2e+05        5
    7              770         0.01081         4.2e+05        0
    8              865        0.007161         3.8e+05        0
    9              960        0.007161         3.8e+05        1
   10             1055        0.007161         3.3e+05        2
   11             1150        0.006261         2.5e+05        0
   12             1245        0.006261         2.8e+05        1
   13             1340        0.006257         2.6e+05        0
   14             1435        0.005811           2e+05        0
   15             1530        0.005811         2.8e+05        1
   16             1625         0.00552           3e+05        0
   17             1720         0.00552         3.3e+05        1
   18             1815         0.00552         3.3e+05        2
   19             1910        0.004663         2.6e+05        0
   20             2005        0.004663         2.6e+05        1
   21             2100        0.004663           2e+05        2
   22             2195        0.004663         1.3e+05        3
   23             2290        0.004663         1.1e+05        4
   24             2385         0.00462         1.7e+05        0
   25             2480        0.004547           9e+04        0
   26             2575        0.004547         1.1e+05        1
   27             2670        0.004534         2.1e+05        0
   28             2765        0.004534           2e+05        0
   29             2860        0.004044         2.7e+05        0
   30             2955        0.004044         3.5e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.003888           3e+05        0
   32             3145        0.003888         3.1e+05        1
   33             3240        0.003888         2.7e+05        2
   34             3335         0.00388         1.8e+05        0
   35             3430        0.003796         1.9e+05        0
   36             3525        0.003748           2e+05        0
   37             3620        0.003748         2.9e+05        1
   38             3715        0.003748         2.7e+05        0
   39             3810        0.003679         3.4e+05        0
   40             3905        0.003675         3.3e+05        0
   41             4000        0.003662         3.3e+05        0
   42             4095        0.003627         3.2e+05        0
   43             4190        0.003627         2.5e+05        1
   44             4285        0.003571         2.1e+05        0
   45             4380        0.003111         1.6e+05        0
   46             4475        0.003111         1.1e+05        1
   47             4570        0.003111         1.9e+05        2
   48             4665        0.002866         2.4e+05        0
   49             4760        0.002864           3e+05        0
   50             4855        0.002864         2.4e+05        1
   51             4950        0.002864         2.6e+05        2
   52             5045        0.002697         2.8e+05        0
   53             5140        0.002697         2.9e+05        1
   54             5235        0.002697           3e+05        2
   55             5330        0.002697         3.2e+05        3
   56             5425        0.002697         3.8e+05        4
   57             5520        0.002697         3.7e+05        5
   58             5615        0.002694         3.2e+05        0
   59             5710        0.002692         2.5e+05        0
   60             5805        0.002692         2.5e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.002655         2.1e+05        0
   62             5995        0.002655         2.7e+05        1
   63             6090        0.002653         2.9e+05        0
   64             6185         0.00265         2.7e+05        0
   65             6280         0.00265         3.1e+05        1
   66             6375        0.002649         3.1e+05        0
   67             6470        0.002646         3.2e+05        0
   68             6565        0.002646         2.9e+05        1
   69             6660        0.002645         3.3e+05        0
   70             6755        0.002642         3.6e+05        0
   71             6850        0.002548         3.2e+05        0
   72             6945        0.002541         2.5e+05        0
   73             7040        0.002541           2e+05        1
   74             7135        0.002541           2e+05        2
   75             7230         0.00254         2.4e+05        0
   76             7325         0.00254         2.7e+05        1
   77             7420         0.00254         2.7e+05        2
   78             7515         0.00254         2.3e+05        3
   79             7610         0.00254         2.4e+05        4
   80             7705         0.00248         2.6e+05        0
   81             7800         0.00248         2.5e+05        0
   82             7895         0.00248         2.3e+05        1
   83             7990         0.00248         2.2e+05        2
   84             8085         0.00248         2.7e+05        3
   85             8180         0.00248         1.8e+05        4
   86             8275        0.002332         2.2e+05        0
   87             8370        0.002332         2.7e+05        1
   88             8465        0.002332         2.4e+05        2
   89             8560        0.002318         1.8e+05        0
   90             8655        0.002318         2.4e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.002306         2.2e+05        0
   92             8845        0.002284         2.2e+05        0
   93             8940        0.002284         2.6e+05        1
   94             9035        0.002272         2.5e+05        0
   95             9130        0.002263         2.5e+05        0
   96             9225        0.002238         2.8e+05        0
   97             9320        0.002236         2.2e+05        0
   98             9415        0.002236         3.1e+05        1
   99             9510        0.002236         3.5e+05        0
  100             9605        0.002236         3.5e+05        0
  101             9700        0.002236         3.3e+05        1
  102             9795        0.002236         3.2e+05        0
  103             9890        0.002185         3.7e+05        0
  104             9985        0.002183         2.8e+05        0
  105            10080        0.002183         2.5e+05        0
  106            10175        0.002183         1.6e+05        0
  107            10270        0.002178         1.6e+05        0
  108            10365        0.002178         1.1e+05        1
  109            10460        0.002172         1.3e+05        0
  110            10555        0.002172           1e+05        1
  111            10650        0.002171         1.7e+05        0
  112            10745        0.002171         1.4e+05        1
  113            10840        0.002171           2e+05        2
  114            10935        0.002169         2.5e+05        0
  115            11030        0.002168         1.9e+05        0
  116            11125        0.002166         2.1e+05        0
  117            11220        0.002166         1.7e+05        1
  118            11315        0.002166           2e+05        2
  119            11410        0.002165         2.6e+05        0
  120            11505        0.002165         2.3e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600        0.002165         2.8e+05        2
  122            11695        0.002165         3.2e+05        3
  123            11790        0.002164         2.4e+05        0
  124            11885        0.002164         2.3e+05        1
  125            11980        0.002164         3.2e+05        2
  126            12075        0.002164         2.4e+05        0
  127            12170        0.002164         3.1e+05        1
