
Single objective optimization:
12 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.03566           8e+05        0
    2              295         0.03566         6.5e+05        1
    3              390         0.03566           6e+05        2
    4              485         0.03474         5.4e+05        0
    5              580         0.03474         4.9e+05        1
    6              675         0.03359         3.9e+05        0
    7              770         0.03285           4e+05        0
    8              865         0.03157         2.6e+05        0
    9              960         0.03157         1.8e+05        1
   10             1055         0.03123         2.1e+05        0
   11             1150         0.02884         1.5e+05        0
   12             1245         0.02884         1.2e+05        1
   13             1340         0.02865         1.6e+05        0
   14             1435         0.02865           7e+04        1
   15             1530         0.02577           9e+04        0
   16             1625         0.02577           1e+05        1
   17             1720         0.02577         1.7e+05        2
   18             1815         0.02577         1.8e+05        3
   19             1910         0.02555         1.6e+05        0
   20             2005         0.02287         1.7e+05        0
   21             2100         0.02287         1.9e+05        1
   22             2195         0.02287         1.1e+05        2
   23             2290          0.0217         1.3e+05        0
   24             2385          0.0217         1.4e+05        1
   25             2480          0.0217           7e+04        2
   26             2575         0.02104           9e+04        0
   27             2670         0.02057         1.1e+05        0
   28             2765         0.01987         1.1e+05        0
   29             2860         0.01914         1.4e+05        0
   30             2955         0.01729           7e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050         0.01729           6e+04        1
   32             3145         0.01711         1.2e+05        0
   33             3240           0.017           3e+04        0
   34             3335         0.01699           5e+04        0
   35             3430         0.01699           4e+04        1
   36             3525         0.01699         1.2e+05        2
   37             3620         0.01699         1.4e+05        3
   38             3715         0.01699         1.9e+05        4
   39             3810         0.01699         2.1e+05        5
   40             3905         0.01529         1.4e+05        0
   41             4000         0.01529           1e+05        1
   42             4095         0.01494           6e+04        0
   43             4190         0.01432           9e+04        0
   44             4285         0.01393         1.5e+05        0
   45             4380         0.01393         1.4e+05        1
   46             4475         0.01385         1.3e+05        0
   47             4570         0.01383         1.6e+05        0
   48             4665         0.01382         1.5e+05        0
   49             4760         0.01375         1.1e+05        0
   50             4855         0.01364           6e+04        0
   51             4950         0.01363           7e+04        0
   52             5045         0.01363           4e+04        1
   53             5140          0.0136         1.1e+05        0
   54             5235          0.0136           8e+04        1
   55             5330         0.01358         1.3e+05        0
   56             5425         0.01358           9e+04        1
   57             5520         0.01358         1.5e+05        2
   58             5615         0.01358         2.1e+05        3
   59             5710         0.01358         2.1e+05        4
   60             5805         0.01358         1.5e+05        5

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900         0.01331         1.2e+05        0
   62             5995         0.01306         1.2e+05        0
   63             6090         0.01297         1.4e+05        0
   64             6185         0.01297         1.2e+05        1
   65             6280         0.01285         1.2e+05        0
   66             6375         0.01285         1.4e+05        1
   67             6470         0.01203         1.5e+05        0
   68             6565         0.01174         1.3e+05        0
   69             6660         0.01174         1.8e+05        1
   70             6755         0.01174         2.2e+05        2
   71             6850         0.01174         1.6e+05        3
   72             6945         0.01158         1.3e+05        0
   73             7040         0.01158         1.5e+05        1
   74             7135         0.01158           8e+04        2
   75             7230         0.01151           8e+04        0
   76             7325         0.01134           7e+04        0
   77             7420          0.0113         1.2e+05        0
   78             7515         0.01072         1.5e+05        0
   79             7610         0.01049         2.3e+05        0
   80             7705         0.01049         1.4e+05        1
   81             7800         0.01049         2.2e+05        2
   82             7895         0.01033         1.5e+05        0
   83             7990         0.01033         1.8e+05        1
   84             8085         0.01033         1.8e+05        2
   85             8180         0.01033         1.7e+05        3
   86             8275         0.01033         1.3e+05        4
   87             8370         0.01033           8e+04        5
   88             8465         0.01033           7e+04        6
   89             8560         0.01029           2e+04        0
   90             8655         0.01017           2e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750         0.01017           2e+04        1
   92             8845        0.009994          0.0127        0
   93             8940        0.009883         0.01283        0
   94             9035        0.009232           2e+04        0
   95             9130        0.009232           6e+04        1
   96             9225        0.009232           1e+05        2
   97             9320        0.009093           8e+04        0
   98             9415        0.009093           9e+04        1
   99             9510        0.009093           5e+04        2
  100             9605        0.009093           2e+04        3
  101             9700        0.009008         0.01222        0
  102             9795        0.008906          0.0117        0
  103             9890        0.008845           3e+04        0
  104             9985        0.008842           4e+04        0
  105            10080        0.008811           5e+04        0
  106            10175        0.008811         1.1e+05        1
  107            10270         0.00879         1.5e+05        0
  108            10365         0.00879         1.6e+05        1
  109            10460         0.00879         1.4e+05        2
  110            10555        0.008774           9e+04        0
  111            10650        0.008774         1.6e+05        1
  112            10745        0.008774         1.2e+05        2
  113            10840        0.008774           6e+04        3
  114            10935        0.008774           5e+04        4
  115            11030        0.008774           2e+04        5
  116            11125        0.008774           1e+04        6
  117            11220        0.008764           1e+04        0
  118            11315        0.008749        0.009432        0
  119            11410        0.008737        0.009296        0
  120            11505        0.008737        0.009708        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600        0.008716        0.009413        0
  122            11695        0.008704        0.009943        0
  123            11790        0.008704           1e+04        1
  124            11885          0.0087           1e+04        0
  125            11980        0.008698           1e+04        0
  126            12075         0.00869           2e+04        0
  127            12170         0.00869           6e+04        0
  128            12265         0.00869         1.7e+05        0
  129            12360         0.00869         1.8e+05        1
  130            12455         0.00869         1.3e+05        2
  131            12550         0.00869         1.4e+05        3
  132            12645         0.00869           6e+04        4
  133            12740         0.00869           4e+04        5
  134            12835         0.00869           1e+04        6
  135            12930        0.008675           1e+04        0
  136            13025        0.008628           1e+04        0
  137            13120        0.008581           1e+04        0
  138            13215        0.008581           2e+04        1
  139            13310        0.008581           1e+04        2
  140            13405        0.008581           1e+04        3
  141            13500        0.008559           1e+04        0
  142            13595        0.008486           1e+04        0
  143            13690        0.008466         0.01137        0
  144            13785        0.008466           2e+04        1
  145            13880        0.008411           3e+04        0
  146            13975        0.008388           2e+04        0
  147            14070        0.008388           4e+04        1
  148            14165        0.008321           6e+04        0
  149            14260          0.0083           8e+04        0
  150            14355        0.008289         1.4e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            14450        0.008289         1.8e+05        1
  152            14545        0.008289         1.7e+05        2
  153            14640        0.008289         1.5e+05        3
  154            14735        0.008289           9e+04        4
  155            14830        0.008163           7e+04        0
  156            14925        0.008163           9e+04        1
  157            15020        0.008163           4e+04        2
  158            15115        0.008017           4e+04        0
  159            15210        0.007945           3e+04        0
  160            15305        0.007945           1e+04        1
  161            15400        0.007945           1e+04        2
  162            15495        0.007821           3e+04        0
  163            15590        0.007821           2e+04        1
  164            15685        0.007821           2e+04        2
  165            15780        0.007821           1e+04        3
  166            15875         0.00778        0.008791        0
  167            15970        0.007702        0.008572        0
  168            16065        0.007702        0.008667        1
  169            16160        0.007668        0.008622        0
  170            16255        0.007647        0.009004        0
  171            16350        0.007613           1e+04        0
  172            16445        0.007579           1e+04        0
  173            16540        0.007398           3e+04        0
  174            16635        0.007388         1.1e+05        0
  175            16730        0.007333         1.8e+05        0
  176            16825        0.007333           1e+05        1
  177            16920        0.007309         1.2e+05        0
  178            17015        0.007309           6e+04        1
  179            17110        0.007309         1.5e+05        2
  180            17205        0.007309         2.1e+05        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            17300        0.007122         1.6e+05        0
  182            17395        0.007122         1.6e+05        1
  183            17490        0.007122         1.4e+05        2
  184            17585        0.007122           5e+04        3
  185            17680        0.007122           2e+04        4
  186            17775        0.006965           1e+04        0
  187            17870        0.006956           3e+04        0
  188            17965        0.006944         0.01316        0
  189            18060         0.00691           5e+04        0
  190            18155         0.00691         1.3e+05        1
  191            18250         0.00691         1.1e+05        2
  192            18345         0.00691           4e+04        3
  193            18440         0.00691           3e+04        4
  194            18535        0.006873           2e+04        0
  195            18630         0.00684           3e+04        0
  196            18725         0.00684           3e+04        1
  197            18820         0.00684           3e+04        2
  198            18915        0.006817           3e+04        0
  199            19010        0.006738           1e+04        0
  200            19105        0.006712           2e+04        0
  201            19200        0.006712           6e+04        1
  202            19295          0.0066           6e+04        0
  203            19390          0.0066           1e+05        1
  204            19485          0.0066           1e+05        2
  205            19580          0.0066           6e+04        3
  206            19675          0.0066           4e+04        4
  207            19770        0.006572           2e+04        0
  208            19865        0.006572           2e+04        1
  209            19960        0.006572         0.00808        2
  210            20055        0.006526        0.007439        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            20150        0.006516        0.007461        0
  212            20245        0.006509        0.007703        0
  213            20340        0.006485        0.009497        0
  214            20435        0.006485           2e+04        1
  215            20530        0.006476           1e+04        0
  216            20625        0.006476           4e+04        1
  217            20720        0.006476           4e+04        2
  218            20815        0.006473         0.01113        0
  219            20910        0.006473           2e+04        1
  220            21005        0.006473         0.01065        2
  221            21100        0.006379           1e+04        0
  222            21195        0.006379        0.008459        1
  223            21290        0.006282          0.0078        0
  224            21385        0.006282        0.007791        1
  225            21480        0.006282        0.007409        2
  226            21575        0.006245        0.007168        0
