             AIRFOIL_NAME,          CLDMAX,      DELALP, FLAG
                c141a.dat,    69.695340502,       13.25, 0000 
                c141b.dat,    67.815498155,        7.75, 0000 
                c141c.dat,    80.656934307,       12.25, 0000 
                c141d.dat,    81.654545455,       13.50, 0000 
                c141e.dat,    84.911937378,       13.25, 0000 
                c141f.dat,    85.321239607,        8.75, 0000 
                  c5a.dat,    69.275362319,        6.50, 0000 
                  c5b.dat,    77.519531250,       11.75, 0000 
                  c5c.dat,    88.231707317,       13.25, 0000 
                  c5d.dat,    83.812154696,       12.75, 0000 
                  c5e.dat,    76.632000000,        7.75, 0000 
               cap21c.dat,    95.344160866,        6.00, 0000 
              cast102.dat,    92.369337979,       11.50, 0000 
               ch10sm.dat,   172.653061224,        6.75, 0000 
                 chen.dat,   126.716604245,        0.00, 0000 
               clarkk.dat,   112.933643772,       10.25, 0000 
               clarkv.dat,   127.218649518,       11.50, 0000 
               clarkw.dat,   114.779220779,       11.00, 0000 
               clarkx.dat,   113.193277311,       10.50, 0000 
               clarky.dat,   113.675078864,       12.75, 0000 
              clarkyh.dat,    95.138067061,        9.00, 0000 
              clarkys.dat,    82.322713258,        5.75, 0000 
             clarkysm.dat,   119.204712813,       14.25, 0000 
               clarkz.dat,   116.934950386,       10.75, 0000 
             clarym15.dat,   107.569913211,        9.75, 0000 
             clarym18.dat,    97.165281625,       11.75, 0000 
              coanda1.dat,    75.948581560,        1.25, 0000 
              coanda2.dat,    83.526370217,        6.50, 0000 
              coanda3.dat,    96.260657734,        5.75, 0000 
               cootie.dat,   129.130434783,        7.50, 0000 
              cr001sm.dat,   138.703374778,       11.00, 0000 
                  cr1.dat,   117.105590062,        9.00, 0000 
            curtisc72.dat,   115.515151515,       12.50, 0000 
                dae11.dat,   175.498687664,        3.00, 0000 
                dae21.dat,   172.261735420,       12.25, 0000 
                dae31.dat,   171.689497717,       13.50, 0000 
                dae51.dat,   137.764084507,       10.50, 0000 
                davis.dat,   118.187134503,       10.75, 0000 
      davis_corrected.dat,   116.247484909,        1.50, 0000 
              davissm.dat,     0.000000000,        0.00, 0077 
        daytonwright6.dat,   109.608269859,        6.25, 0000 
       daytonwrightt1.dat,   103.508771930,       12.75, 0000 
              dbln526.dat,    51.467576792,        4.25, 0000 
              defcnd1.dat,   124.001986097,        8.50, 0000 
              defcnd2.dat,   115.158582090,        3.25, 0000 
              defcnd3.dat,   101.089211618,        9.25, 0000 
                df101.dat,   101.415094340,       11.00, 0000 
                df102.dat,    92.118270079,        9.00, 0000 
              dfvlrr4.dat,    90.064102564,       15.25, 0000 
              dga1138.dat,    82.744237102,        9.00, 0000 
              dga1182.dat,    65.908771930,        4.25, 0000 
             dh4009sm.dat,    38.202247191,        1.00, 0000 
                 doa5.dat,    89.624060150,       16.25, 0000 
               dormoy.dat,    85.387596899,        7.50, 0000 
              drgnfly.dat,   147.453703704,        3.00, 0000 
             dsma523a.dat,    75.895589559,        5.25, 0000 
             dsma523b.dat,    72.907488987,        6.25, 0000 
             du84132v.dat,    99.315589354,       14.25, 0000 
            du8608418.dat,    64.497991968,        6.75, 0000 
             du861372.dat,    57.847682119,        9.50, 0000 
                e1098.dat,   146.681870011,        0.25, 0000 
                e1200.dat,   129.230769231,       14.50, 0000 
                e1210.dat,   115.946166395,        8.50, 0000 
                e1211.dat,   111.640689089,        9.00, 0000 
                e1212.dat,   109.025811823,        7.75, 0000 
             e1212mod.dat,   107.375886525,        6.25, 0000 
                e1213.dat,   102.430426716,        8.75, 0000 
                e1214.dat,   101.336099585,        7.50, 0000 
                e1230.dat,   110.764655905,        6.00, 0000 
                e1233.dat,    99.102773246,        8.25, 0000 
                 e168.dat,    75.029446408,        5.75, 0000 
                 e169.dat,    84.644351464,        7.50, 0000 
                 e171.dat,    65.423728814,        7.75, 0000 
                 e174.dat,   136.045016077,       11.00, 0000 
                 e176.dat,   128.227424749,       10.50, 0000 
                 e178.dat,   117.334465195,        9.25, 0000 
                 e180.dat,   104.701754386,        9.25, 0000 
                 e182.dat,    86.071428571,        7.75, 0000 
                 e184.dat,    72.299270073,        4.00, 0000 
                 e186.dat,    84.200542005,       11.50, 0000 
                 e193.dat,   130.487804878,       11.50, 0000 
                 e195.dat,   131.183611533,       12.25, 0000 
                 e197.dat,   130.401188707,       10.75, 0000 
                 e201.dat,   128.234398782,       11.00, 0000 
                 e203.dat,   127.620396601,       10.25, 0000 
                 e205.dat,   124.377745242,       10.50, 0000 
                 e207.dat,   115.506241331,       11.25, 0000 
                 e209.dat,   115.868421053,        9.75, 0000 
                 e210.dat,   136.534161491,        9.25, 0000 
                 e211.dat,   115.183098592,       10.25, 0000 
                 e212.dat,   117.103347889,       12.25, 0000 
                 e214.dat,   141.959361393,       13.00, 0000 
                 e216.dat,   153.073394495,       12.25, 0000 
                 e220.dat,   115.893939394,       11.25, 0000 
                 e221.dat,    93.723554302,        9.75, 0000 
                 e222.dat,   112.269170579,       14.25, 0000 
                 e224.dat,    93.961424332,        9.25, 0000 
                 e226.dat,    80.473815461,        8.25, 0000 
                 e228.dat,    67.620853081,        5.50, 0000 
                 e230.dat,    49.720034996,        1.75, 0000 
                 e231.dat,   100.333333333,       12.25, 0000 
                 e266.dat,   125.536791315,        1.25, 0000 
                 e297.dat,    56.477104874,        4.75, 0000 
                 e325.dat,    81.207075963,        5.50, 0000 
                 e326.dat,    87.119914347,        5.25, 0000 
                 e327.dat,    97.287287287,        4.50, 0000 
                 e328.dat,   107.578947368,        4.50, 0000 
                 e329.dat,   112.808764940,        4.75, 0000 
                 e330.dat,    85.787511650,        5.25, 0000 
                 e331.dat,    92.383778437,        4.50, 0000 
                 e332.dat,   102.969215492,        3.50, 0000 
                 e333.dat,   110.853778214,        2.50, 0000 
                 e334.dat,   121.261444557,        5.25, 0000 
                 e335.dat,    83.975563910,        5.75, 0000 
                 e336.dat,    93.516068053,        5.00, 0000 
                 e337.dat,   103.015582035,        3.25, 0000 
                 e338.dat,   109.067028986,        2.25, 0000 
                 e339.dat,   115.408261287,        2.25, 0000 
                 e340.dat,    68.428860418,        4.75, 0000 
                 e341.dat,    79.346341463,        6.75, 0000 
                 e342.dat,   102.265037594,        4.50, 0000 
                 e343.dat,   109.296947271,        3.25, 0000 
                 e344.dat,   115.072463768,        3.25, 0000 
                 e360.dat,    83.167559296,        6.25, 0000 
                 e361.dat,    85.514532600,        8.00, 0000 
