
Single objective optimization:
26 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.02922         7.5e+05        0
    2              295           0.028         7.4e+05        0
    3              390           0.028         6.1e+05        1
    4              485         0.02635         5.5e+05        0
    5              580         0.02309         4.7e+05        0
    6              675         0.01743         3.4e+05        0
    7              770         0.01326         2.7e+05        0
    8              865        0.008197           2e+05        0
    9              960        0.008197           9e+04        1
   10             1055        0.007962           9e+04        0
   11             1150        0.007807           9e+04        0
   12             1245        0.007807           6e+04        1
   13             1340        0.007807           1e+05        2
   14             1435        0.007807         1.7e+05        3
   15             1530        0.006474         1.4e+05        0
   16             1625        0.006348           9e+04        0
   17             1720        0.006056         1.4e+05        0
   18             1815        0.005894           1e+05        0
   19             1910        0.005654           5e+04        0
   20             2005        0.005336           4e+04        0
   21             2100        0.005336           2e+04        1
   22             2195         0.00531           4e+04        0
   23             2290         0.00531           1e+04        1
   24             2385        0.005145           8e+04        0
   25             2480        0.004985           5e+04        0
   26             2575        0.004985           3e+04        1
   27             2670        0.004912           7e+04        0
   28             2765        0.004912           3e+04        1
   29             2860        0.004912           6e+04        2
   30             2955        0.004883           9e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.004883         1.2e+05        1
   32             3145        0.004883         1.1e+05        2
   33             3240        0.004307           1e+05        0
   34             3335        0.004299         1.5e+05        0
   35             3430        0.004282         1.5e+05        0
   36             3525        0.004282           8e+04        1
   37             3620        0.004282         1.2e+05        2
   38             3715        0.004282         1.3e+05        3
   39             3810        0.004244         1.8e+05        0
   40             3905        0.004244         1.3e+05        1
   41             4000        0.004244         1.3e+05        2
   42             4095        0.004244           1e+05        3
   43             4190        0.004031         1.2e+05        0
   44             4285        0.004018         1.3e+05        0
   45             4380        0.003711         1.3e+05        0
   46             4475        0.003711         1.6e+05        1
   47             4570        0.003623         1.6e+05        0
   48             4665        0.003566         1.5e+05        0
   49             4760        0.003566         2.6e+05        1
   50             4855        0.003538         2.7e+05        0
   51             4950        0.003537         2.7e+05        0
   52             5045        0.003537         1.9e+05        1
   53             5140        0.003537         1.7e+05        2
   54             5235        0.003265           2e+05        0
   55             5330        0.003265           2e+05        1
   56             5425        0.003265         1.5e+05        2
   57             5520        0.003265         1.6e+05        3
   58             5615        0.003265         1.4e+05        4
   59             5710        0.003155           7e+04        0
   60             5805        0.003027           1e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.002918         1.3e+05        0
   62             5995        0.002918         1.8e+05        1
   63             6090        0.002918           2e+05        2
   64             6185        0.002918         1.2e+05        3
   65             6280        0.002918         1.4e+05        4
   66             6375        0.002918         1.5e+05        5
   67             6470        0.002639           5e+04        0
   68             6565         0.00263           5e+04        0
   69             6660        0.002612           3e+04        0
   70             6755        0.002609           4e+04        0
   71             6850        0.002605         1.1e+05        0
   72             6945        0.002553         1.9e+05        0
   73             7040         0.00255         2.2e+05        0
   74             7135         0.00255         1.5e+05        1
   75             7230        0.002524           2e+05        0
   76             7325        0.002524         1.5e+05        1
   77             7420        0.002521         1.8e+05        0
   78             7515        0.002455           9e+04        0
   79             7610        0.002454           5e+04        0
   80             7705        0.002454           3e+04        1
   81             7800        0.002454           1e+05        2
   82             7895        0.002454         1.5e+05        3
   83             7990        0.002454         1.8e+05        4
   84             8085        0.002445         1.7e+05        0
   85             8180          0.0023         1.5e+05        0
   86             8275         0.00229         1.5e+05        0
   87             8370         0.00229         1.5e+05        1
   88             8465        0.002277         1.9e+05        0
   89             8560         0.00227         2.6e+05        0
   90             8655        0.002261         1.8e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.002261           9e+04        1
   92             8845        0.002256         1.1e+05        0
   93             8940        0.002256           5e+04        1
   94             9035        0.002256         1.3e+05        2
   95             9130        0.002249           2e+05        0
   96             9225        0.002249         1.8e+05        1
   97             9320        0.002134         2.6e+05        0
   98             9415        0.002127         2.9e+05        0
   99             9510        0.002126         1.9e+05        0
  100             9605        0.002126           2e+04        0
  101             9700        0.002126           3e+04        1
  102             9795        0.002126           7e+04        2
  103             9890        0.002126         1.2e+05        3
  104             9985        0.002126         1.6e+05        4
  105            10080        0.002126           9e+04        5
  106            10175        0.002126           1e+05        6
  107            10270        0.001862           7e+04        0
  108            10365         0.00186           5e+04        0
  109            10460         0.00186           9e+04        1
  110            10555        0.001859           7e+04        0
  111            10650        0.001855         1.1e+05        0
  112            10745        0.001847         1.6e+05        0
  113            10840        0.001845         1.6e+05        0
  114            10935        0.001843         2.3e+05        0
  115            11030        0.001841         1.5e+05        0
  116            11125        0.001841           9e+04        1
  117            11220         0.00184           9e+04        0
  118            11315         0.00184           6e+04        1
  119            11410         0.00184         1.1e+05        2
  120            11505         0.00184         1.1e+05        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600         0.00184         1.8e+05        4
  122            11695        0.001837         1.5e+05        0
  123            11790        0.001837         1.3e+05        1
  124            11885        0.001837         1.4e+05        2
  125            11980        0.001837         1.3e+05        0
  126            12075        0.001834         1.2e+05        0
  127            12170        0.001834         1.1e+05        1
  128            12265        0.001833           1e+05        0
  129            12360        0.001833         1.8e+05        1
  130            12455        0.001831           9e+04        0
  131            12550        0.001831         1.1e+05        1
  132            12645        0.001831         1.3e+05        2
  133            12740        0.001831           1e+05        0
  134            12835        0.001831           1e+05        0
  135            12930        0.001831           8e+04        1
  136            13025        0.001831           9e+04        2
  137            13120         0.00183           5e+04        0
  138            13215         0.00183           7e+04        1
  139            13310         0.00183           7e+04        2
  140            13405         0.00183           8e+04        3
  141            13500        0.001805           9e+04        0
  142            13595        0.001805           8e+04        1
  143            13690        0.001804           8e+04        0
  144            13785        0.001793           4e+04        0
  145            13880        0.001791           6e+04        0
  146            13975        0.001786           5e+04        0
  147            14070         0.00178           9e+04        0
  148            14165        0.001766         1.2e+05        0
  149            14260        0.001766         1.3e+05        1
  150            14355        0.001759         1.4e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            14450        0.001755         1.4e+05        0
  152            14545        0.001754           6e+04        0
  153            14640        0.001748           2e+04        0
  154            14735        0.001747           1e+04        0
  155            14830        0.001747        0.003395        1
  156            14925        0.001747           9e+04        2
  157            15020        0.001747           8e+04        3
  158            15115        0.001747           9e+04        4
  159            15210        0.001747           8e+04        5
  160            15305        0.001747           9e+04        6
  161            15400        0.001743           1e+05        0
  162            15495        0.001743           8e+04        1
  163            15590        0.001743           6e+04        2
  164            15685        0.001741           6e+04        0
  165            15780        0.001741           4e+04        1
  166            15875        0.001741           7e+04        2
  167            15970        0.001737           4e+04        0
  168            16065        0.001737           5e+04        0
  169            16160        0.001737           1e+05        0
  170            16255        0.001736           6e+04        0
  171            16350        0.001734           1e+05        0
  172            16445        0.001733         1.1e+05        0
  173            16540        0.001732         1.5e+05        0
  174            16635        0.001732         2.1e+05        1
  175            16730        0.001732         1.9e+05        0
  176            16825        0.001732         1.6e+05        1
  177            16920        0.001732         1.6e+05        2
  178            17015        0.001732         1.9e+05        0
  179            17110        0.001732         1.6e+05        1
  180            17205        0.001732         1.6e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            17300        0.001732         2.1e+05        1
  182            17395        0.001732         1.6e+05        2
  183            17490        0.001732           8e+04        3
  184            17585        0.001732           9e+04        4
  185            17680        0.001699           5e+04        0
  186            17775        0.001699           7e+04        1
  187            17870        0.001699           8e+04        2
  188            17965        0.001699         1.2e+05        0
  189            18060        0.001698           4e+04        0
  190            18155        0.001698           4e+04        1
  191            18250        0.001698           4e+04        2
  192            18345        0.001698           4e+04        0
  193            18440        0.001698           2e+04        0
  194            18535        0.001686           4e+04        0
  195            18630        0.001685           2e+04        0
  196            18725        0.001685         1.1e+05        0
  197            18820        0.001683         1.3e+05        0
  198            18915        0.001683         1.3e+05        1
  199            19010        0.001682         1.9e+05        0
  200            19105        0.001682         2.1e+05        0
  201            19200        0.001682         1.1e+05        0
  202            19295        0.001681           7e+04        0
  203            19390        0.001681           5e+04        1
  204            19485        0.001671         1.2e+05        0
  205            19580        0.001671           9e+04        0
  206            19675        0.001671           3e+04        0
  207            19770        0.001671           1e+04        1
  208            19865        0.001671           1e+05        2
  209            19960        0.001671         1.5e+05        3
  210            20055        0.001671         1.3e+05        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            20150        0.001671           8e+04        5
  212            20245        0.001671         1.2e+05        6
  213            20340        0.001671           8e+04        7
  214            20435        0.001662           6e+04        0
  215            20530        0.001662           6e+04        1
  216            20625        0.001662           9e+04        2
  217            20720        0.001662           8e+04        0
  218            20815        0.001662           7e+04        1
  219            20910        0.001662           6e+04        0
  220            21005        0.001662           4e+04        0
  221            21100        0.001661           2e+04        0
  222            21195        0.001661           3e+04        0
  223            21290         0.00166           2e+04        0
  224            21385         0.00166           8e+04        1
  225            21480         0.00166           1e+05        0
  226            21575         0.00166         1.1e+05        1
  227            21670         0.00166           9e+04        2
  228            21765         0.00166           8e+04        3
  229            21860        0.001637           6e+04        0
  230            21955        0.001637           6e+04        1
  231            22050        0.001588           6e+04        0
  232            22145        0.001588           7e+04        0
  233            22240        0.001588           9e+04        1
  234            22335        0.001567           9e+04        0
  235            22430        0.001567           5e+04        1
  236            22525        0.001542           8e+04        0
  237            22620        0.001542           5e+04        1
  238            22715        0.001542           7e+04        2
  239            22810        0.001542           7e+04        3
  240            22905        0.001542         1.1e+05        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            23000        0.001541           8e+04        0
  242            23095        0.001541         1.1e+05        1
  243            23190        0.001538           1e+05        0
  244            23285        0.001526           1e+05        0
  245            23380        0.001526           8e+04        1
  246            23475        0.001524           5e+04        0
  247            23570        0.001512           6e+04        0
  248            23665        0.001508           4e+04        0
  249            23760        0.001507           8e+04        0
  250            23855        0.001507         1.1e+05        1
  251            23950        0.001507           9e+04        2
  252            24045        0.001507           9e+04        0
  253            24140        0.001507           9e+04        1
  254            24235        0.001507           3e+04        2
  255            24330        0.001497           7e+04        0
  256            24425        0.001496           6e+04        0
  257            24520        0.001496           5e+04        1
  258            24615        0.001478           5e+04        0
  259            24710        0.001478           3e+04        1
  260            24805        0.001478           5e+04        2
  261            24900        0.001478           4e+04        3
  262            24995        0.001478           2e+04        4
  263            25090        0.001478           1e+04        5
  264            25185        0.001478           1e+04        0
  265            25280        0.001478           3e+04        1
  266            25375        0.001478           5e+04        2
  267            25470        0.001457           2e+04        0
  268            25565        0.001457           1e+04        1
  269            25660        0.001451           1e+04        0
  270            25755        0.001451           3e+04        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  271            25850         0.00145           3e+04        0
  272            25945         0.00145           4e+04        0
  273            26040        0.001449           3e+04        0
  274            26135        0.001425           5e+04        0
Optimization terminated: minimum fitness limit reached.
