
Single objective optimization:
12 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.02999         8.1e+05        0
    2              295         0.02995         6.6e+05        0
    3              390         0.02941         5.2e+05        0
    4              485         0.02941         4.1e+05        1
    5              580         0.02941         4.1e+05        2
    6              675         0.02941         3.3e+05        3
    7              770         0.02934         3.1e+05        0
    8              865         0.01471         2.1e+05        0
    9              960         0.01471         1.9e+05        1
   10             1055         0.01359         1.6e+05        0
   11             1150         0.01359         1.6e+05        1
   12             1245         0.01359         1.5e+05        2
   13             1340         0.01309         1.1e+05        0
   14             1435         0.01309           8e+04        1
   15             1530         0.01261           1e+05        0
   16             1625         0.01191           1e+05        0
   17             1720         0.01191         1.6e+05        1
   18             1815         0.01191         1.5e+05        2
   19             1910         0.01175         1.1e+05        0
   20             2005         0.01162         1.5e+05        0
   21             2100         0.01162         1.5e+05        1
   22             2195         0.01154         1.4e+05        0
   23             2290         0.01154         1.6e+05        1
   24             2385         0.01154         1.7e+05        2
   25             2480         0.01154         1.2e+05        3
   26             2575         0.01154         1.2e+05        4
   27             2670         0.01097           8e+04        0
   28             2765        0.009259           5e+04        0
   29             2860        0.009259           6e+04        1
   30             2955        0.007955           5e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.007918           7e+04        0
   32             3145        0.007416           7e+04        0
   33             3240        0.007416         1.3e+05        1
   34             3335        0.007416         1.2e+05        2
   35             3430        0.007213           9e+04        0
   36             3525        0.007213         1.2e+05        1
   37             3620        0.007213         1.1e+05        2
   38             3715        0.007213           9e+04        3
   39             3810        0.007213           5e+04        4
   40             3905        0.007116           3e+04        0
   41             4000        0.006517           2e+04        0
   42             4095        0.006322           4e+04        0
   43             4190        0.006186           3e+04        0
   44             4285        0.006186           9e+04        1
   45             4380        0.006051           6e+04        0
   46             4475        0.006051           9e+04        1
   47             4570        0.005758           7e+04        0
   48             4665        0.005758           1e+05        1
   49             4760        0.005758         1.1e+05        2
   50             4855        0.005758           1e+05        3
   51             4950        0.005758           3e+04        4
   52             5045        0.005758           1e+04        5
   53             5140        0.005673         0.01138        0
   54             5235        0.005673        0.009534        1
   55             5330        0.005632        0.008998        0
   56             5425        0.005483         0.00838        0
   57             5520        0.005465        0.007625        0
   58             5615        0.005306           1e+04        0
   59             5710        0.005306           5e+04        1
   60             5805        0.005306           4e+04        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.005284           2e+04        0
   62             5995        0.005243           2e+04        0
   63             6090        0.005243           3e+04        1
   64             6185        0.005237         0.01769        0
   65             6280        0.005225           4e+04        0
   66             6375        0.004737           2e+04        0
   67             6470        0.004358           2e+05        0
   68             6565        0.004358         1.3e+05        1
   69             6660        0.004226         1.7e+05        0
   70             6755         0.00392           1e+05        0
   71             6850        0.003906           7e+04        0
   72             6945        0.003906           4e+04        1
   73             7040        0.003906         1.3e+05        2
   74             7135        0.003904         1.6e+05        0
   75             7230        0.003904         1.9e+05        1
   76             7325        0.003904         1.7e+05        2
   77             7420        0.003899         1.4e+05        0
   78             7515        0.003898         1.1e+05        0
   79             7610        0.003898         1.7e+05        1
   80             7705        0.003898         1.8e+05        2
   81             7800        0.003898         1.5e+05        3
   82             7895        0.003898         1.3e+05        4
   83             7990        0.003898           6e+04        5
   84             8085        0.003898           7e+04        6
   85             8180        0.003788           7e+04        0
   86             8275        0.003788           3e+04        1
   87             8370        0.003664        0.007251        0
   88             8465        0.003664        0.006722        1
   89             8560        0.003664        0.005641        2
   90             8655        0.003581        0.005177        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.003581        0.004933        1
   92             8845        0.003575         0.00464        0
   93             8940        0.003521        0.004335        0
   94             9035        0.003496        0.005189        0
   95             9130        0.003491        0.006591        0
   96             9225        0.003491         0.01147        1
   97             9320        0.003491        0.008954        2
   98             9415        0.003481        0.007341        0
   99             9510        0.003481        0.007897        1
  100             9605        0.003481        0.006899        2
  101             9700         0.00347        0.005696        0
  102             9795        0.003455        0.005393        0
  103             9890        0.003455        0.006479        1
  104             9985        0.003452        0.006796        0
  105            10080        0.003452        0.007478        1
  106            10175        0.003358         0.00699        0
  107            10270        0.003358        0.008142        1
  108            10365        0.003334        0.007865        0
  109            10460        0.003334        0.007844        1
  110            10555        0.003315        0.006914        0
  111            10650        0.003315        0.007379        1
  112            10745        0.003315        0.006478        2
  113            10840        0.003315        0.005447        3
  114            10935        0.003315        0.004843        0
  115            11030        0.003315        0.004549        1
  116            11125        0.003307        0.003941        0
  117            11220        0.003307        0.004011        1
  118            11315        0.003292        0.003954        0
  119            11410        0.003292        0.004125        1
  120            11505        0.003288         0.00391        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600        0.003288        0.004066        1
  122            11695        0.003286        0.003926        0
  123            11790        0.003283        0.003998        0
  124            11885         0.00328        0.004605        0
  125            11980        0.003279        0.005503        0
  126            12075        0.003272           1e+04        0
  127            12170        0.003271           3e+04        0
  128            12265        0.003271           7e+04        0
  129            12360        0.003271         1.2e+05        1
  130            12455        0.003271         1.5e+05        2
  131            12550        0.003255         1.1e+05        0
  132            12645        0.003255           8e+04        1
  133            12740        0.003232           9e+04        0
  134            12835        0.003232           9e+04        1
  135            12930        0.003232           8e+04        2
  136            13025        0.003093           4e+04        0
  137            13120        0.003093           7e+04        1
  138            13215        0.003093           5e+04        2
  139            13310        0.003093           2e+04        3
  140            13405        0.003093           1e+04        4
  141            13500        0.003042        0.009294        0
  142            13595        0.002998           1e+04        0
  143            13690        0.002998           1e+04        1
  144            13785        0.002998        0.007162        2
  145            13880        0.002989        0.006014        0
  146            13975        0.002989        0.006036        1
  147            14070        0.002988        0.005403        0
  148            14165        0.002987        0.005267        0
  149            14260        0.002939        0.006377        0
  150            14355        0.002929         0.01027        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            14450        0.002879           3e+04        0
  152            14545        0.002879           1e+05        1
  153            14640        0.002879           6e+04        2
  154            14735        0.002879           1e+04        3
  155            14830        0.002879           2e+04        4
  156            14925        0.002879           2e+04        5
  157            15020        0.002879           1e+04        6
  158            15115        0.002879           1e+04        7
  159            15210        0.002877        0.004137        0
  160            15305        0.002778        0.003744        0
  161            15400         0.00276        0.003987        0
  162            15495        0.002729        0.004314        0
  163            15590        0.002721        0.006522        0
  164            15685        0.002721        0.009502        1
  165            15780        0.002721        0.009982        0
  166            15875        0.002699         0.01277        0
  167            15970        0.002699           5e+04        1
  168            16065        0.002699           3e+04        2
  169            16160        0.002651           2e+04        0
  170            16255         0.00265           1e+04        0
  171            16350         0.00265           5e+04        1
  172            16445        0.002618           7e+04        0
  173            16540        0.002588           7e+04        0
  174            16635        0.002588         1.2e+05        1
  175            16730        0.002588         1.1e+05        2
  176            16825        0.002582           4e+04        0
  177            16920        0.002582           3e+04        1
  178            17015        0.002582           3e+04        2
  179            17110        0.002582           3e+04        3
  180            17205        0.002582           1e+04        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            17300        0.002582          0.0141        5
  182            17395        0.002582           1e+04        6
  183            17490        0.002569        0.006113        0
  184            17585        0.002569        0.005315        1
  185            17680        0.002569        0.003904        2
  186            17775        0.002569        0.003603        3
  187            17870        0.002561        0.002904        0
  188            17965        0.002561        0.002844        1
  189            18060         0.00255        0.002749        0
  190            18155         0.00253        0.002746        0
  191            18250        0.002526        0.002778        0
  192            18345        0.002525         0.00286        0
  193            18440        0.002525        0.003178        1
  194            18535        0.002525        0.002997        2
  195            18630        0.002501        0.002916        0
  196            18725        0.002501        0.002935        1
  197            18820        0.002501        0.002829        2
  198            18915        0.002501        0.002717        3
  199            19010        0.002494        0.002682        0
  200            19105        0.002482         0.00265        0
  201            19200        0.002481        0.002622        0
  202            19295        0.002477        0.002792        0
  203            19390        0.002477        0.003192        1
  204            19485        0.002474        0.002962        0
  205            19580        0.002464         0.00319        0
  206            19675        0.002458        0.004036        0
  207            19770        0.002454        0.006459        0
  208            19865        0.002454           2e+04        1
  209            19960         0.00244           2e+04        0
  210            20055         0.00244         0.01063        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            20150         0.00244          0.0104        2
  212            20245        0.002404        0.007514        0
  213            20340        0.002403        0.007558        0
  214            20435        0.002403         0.01052        1
  215            20530        0.002403         0.01006        2
  216            20625        0.002403        0.009076        3
  217            20720        0.002403        0.007299        4
  218            20815        0.002403        0.006175        5
  219            20910        0.002403        0.005095        6
  220            21005        0.002391        0.004209        0
  221            21100        0.002386         0.00344        0
  222            21195        0.002384        0.003499        0
  223            21290        0.002384        0.003527        1
  224            21385        0.002376        0.003042        0
  225            21480        0.002376        0.003273        1
  226            21575        0.002376        0.002965        2
  227            21670        0.002376         0.00285        3
  228            21765        0.002369        0.002655        0
  229            21860        0.002367        0.002658        0
  230            21955        0.002365         0.00277        0
  231            22050        0.002357        0.002988        0
  232            22145        0.002357        0.004197        0
  233            22240        0.002351        0.006257        0
  234            22335         0.00234           2e+04        0
  235            22430        0.002338           1e+04        0
  236            22525        0.002338           8e+04        1
  237            22620        0.002338           4e+04        2
  238            22715        0.002338           1e+04        0
  239            22810        0.002338           5e+04        1
  240            22905        0.002338           4e+04        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            23000        0.002338           1e+04        3
  242            23095        0.002338           2e+04        4
  243            23190        0.002332           2e+04        0
  244            23285        0.002332           1e+04        1
  245            23380         0.00233           1e+04        0
  246            23475         0.00233        0.005042        1
  247            23570        0.002325        0.004493        0
  248            23665        0.002325        0.004836        1
  249            23760        0.002325        0.004366        2
  250            23855        0.002325        0.003496        3
  251            23950        0.002301        0.002961        0
  252            24045        0.002292         0.00297        0
  253            24140        0.002253        0.003016        0
  254            24235        0.002252        0.003742        0
  255            24330         0.00225        0.005784        0
  256            24425        0.002248        0.008138        0
  257            24520        0.002248         0.01469        1
  258            24615        0.002248           1e+04        2
  259            24710        0.002248           2e+04        3
  260            24805        0.002248           1e+04        4
  261            24900        0.002248        0.007003        5
  262            24995        0.002248        0.005954        6
  263            25090        0.002247         0.00352        0
  264            25185        0.002224        0.002904        0
  265            25280        0.002224        0.003224        1
  266            25375        0.002219        0.003058        0
  267            25470        0.002216        0.003147        0
