
Single objective optimization:
24 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.02474         7.9e+05        0
    2              295         0.02474         6.8e+05        1
    3              390         0.02474         6.5e+05        2
    4              485         0.02474         6.1e+05        3
    5              580         0.02474         5.6e+05        4
    6              675         0.02474         4.8e+05        5
    7              770         0.02474         3.7e+05        6
    8              865         0.01909         3.1e+05        0
    9              960         0.01419         2.6e+05        0
   10             1055        0.009644         2.7e+05        0
   11             1150        0.009495         2.3e+05        0
   12             1245        0.008933         3.8e+05        0
   13             1340        0.005876         3.4e+05        0
   14             1435        0.005876         2.6e+05        1
   15             1530        0.005451         2.9e+05        0
   16             1625        0.004955         2.3e+05        0
   17             1720        0.004955         1.1e+05        1
   18             1815        0.004955           2e+05        2
   19             1910        0.003871         2.6e+05        0
   20             2005        0.003621         2.9e+05        0
   21             2100        0.003621         1.7e+05        1
   22             2195        0.003596         1.6e+05        0
   23             2290        0.003596         1.3e+05        1
   24             2385         0.00344         1.6e+05        0
   25             2480         0.00334         1.3e+05        0
   26             2575         0.00334         1.3e+05        1
   27             2670        0.003105         1.3e+05        0
   28             2765        0.003105         1.2e+05        1
   29             2860        0.003105         1.9e+05        2
   30             2955        0.003105         2.8e+05        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.003105         2.8e+05        4
   32             3145        0.003104         3.4e+05        0
   33             3240        0.003104         3.5e+05        1
   34             3335        0.003103         3.3e+05        0
   35             3430        0.003098         3.7e+05        0
   36             3525        0.003098         3.7e+05        1
   37             3620        0.003096         3.7e+05        0
   38             3715        0.003086         3.7e+05        0
   39             3810        0.003086         3.2e+05        1
   40             3905        0.003086           4e+05        2
   41             4000        0.003086         3.9e+05        3
   42             4095        0.003085           4e+05        0
   43             4190        0.003085         3.4e+05        1
   44             4285        0.003083         3.1e+05        0
   45             4380        0.003083         2.8e+05        1
   46             4475        0.003083         2.7e+05        0
   47             4570        0.003083         2.9e+05        1
   48             4665        0.003083         3.1e+05        2
   49             4760        0.003082         3.3e+05        0
   50             4855        0.003082         3.2e+05        1
   51             4950        0.003081         1.9e+05        0
   52             5045        0.003081         2.6e+05        1
   53             5140        0.003081         2.9e+05        2
   54             5235        0.003081         2.3e+05        0
   55             5330        0.003081         2.2e+05        1
   56             5425        0.003081         1.9e+05        2
   57             5520        0.003081         1.1e+05        3
   58             5615        0.003081           5e+04        4
   59             5710        0.002515           2e+04        0
   60             5805        0.002302           1e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.002228           2e+04        0
   62             5995         0.00204           8e+04        0
   63             6090        0.002015         1.8e+05        0
   64             6185        0.001948         2.1e+05        0
   65             6280        0.001948         2.6e+05        0
   66             6375        0.001943         2.9e+05        0
   67             6470        0.001939         2.8e+05        0
   68             6565        0.001939           2e+05        1
   69             6660        0.001863         2.1e+05        0
   70             6755         0.00185           9e+04        0
   71             6850         0.00185           7e+04        1
   72             6945        0.001836         1.4e+05        0
   73             7040        0.001784         1.3e+05        0
   74             7135        0.001784           9e+04        1
   75             7230        0.001735         1.4e+05        0
   76             7325        0.001729         1.2e+05        0
   77             7420        0.001729         1.2e+05        0
   78             7515        0.001698           8e+04        0
   79             7610        0.001665           5e+04        0
   80             7705        0.001665           1e+04        1
   81             7800        0.001665           1e+05        0
   82             7895        0.001665         1.1e+05        1
   83             7990        0.001665         1.8e+05        2
   84             8085        0.001665         2.3e+05        3
   85             8180        0.001664         2.6e+05        0
   86             8275        0.001645         2.7e+05        0
   87             8370        0.001628         2.8e+05        0
   88             8465        0.001562         2.1e+05        0
   89             8560        0.001531         1.3e+05        0
   90             8655        0.001531           9e+04        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.001531         1.6e+05        2
   92             8845        0.001523         2.3e+05        0
   93             8940        0.001497         2.2e+05        0
   94             9035        0.001497         1.5e+05        1
   95             9130        0.001497         1.5e+05        2
   96             9225        0.001475         1.5e+05        0
   97             9320        0.001466         1.9e+05        0
   98             9415        0.001434         1.2e+05        0
Optimization terminated: minimum fitness limit reached.
