
Single objective optimization:
25 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200        0.009844           7e+04        0
    2              295        0.009844           3e+04        1
    3              390        0.006546           5e+04        0
    4              485        0.005149           5e+04        0
    5              580        0.005149           3e+04        1
    6              675        0.004284           1e+04        0
    7              770        0.004284           3e+04        1
    8              865        0.003907         0.02278        0
    9              960        0.003832         0.01798        0
   10             1055        0.003406         0.01456        0
   11             1150        0.003406         0.01226        1
   12             1245        0.003406         0.01107        2
   13             1340         0.00338        0.008923        0
   14             1435         0.00338           1e+04        1
   15             1530         0.00335         0.00856        0
   16             1625         0.00335        0.007006        1
   17             1720        0.003312        0.004751        0
   18             1815        0.003297        0.004472        0
   19             1910        0.003297        0.007069        1
   20             2005        0.003021        0.007448        0
   21             2100        0.002987        0.009101        0
   22             2195        0.002987         0.01096        1
   23             2290        0.002974        0.007255        0
   24             2385         0.00289        0.008483        0
   25             2480        0.002826         0.01183        0
   26             2575        0.002826        0.009315        1
   27             2670        0.002826        0.008705        2
   28             2765        0.002729        0.006882        0
   29             2860        0.002469        0.007062        0
   30             2955        0.002469        0.007484        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050         0.00181        0.007093        0
   32             3145         0.00181        0.008202        1
   33             3240         0.00181        0.008553        2
   34             3335         0.00181        0.007018        3
   35             3430         0.00181         0.00595        4
   36             3525         0.00181        0.005448        5
   37             3620         0.00181        0.004269        6
   38             3715         0.00178        0.003194        0
   39             3810         0.00178        0.002538        1
   40             3905        0.001756        0.002389        0
   41             4000        0.001725        0.002306        0
   42             4095        0.001713        0.002251        0
   43             4190        0.001713        0.002355        1
   44             4285        0.001698        0.002122        0
   45             4380        0.001693        0.002312        0
   46             4475        0.001693        0.002499        1
   47             4570         0.00169        0.002395        0
   48             4665        0.001674        0.002481        0
   49             4760        0.001651        0.005905        0
   50             4855        0.001651        0.004772        1
   51             4950        0.001651        0.004361        2
   52             5045        0.001649         0.00369        0
   53             5140        0.001648        0.005401        0
   54             5235        0.001648        0.009354        0
   55             5330        0.001648        0.007825        1
   56             5425        0.001648        0.004053        2
   57             5520        0.001647        0.005049        0
   58             5615        0.001647        0.004507        0
   59             5710        0.001647        0.005758        1
   60             5805        0.001647        0.004403        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.001647        0.004323        3
   62             5995        0.001647        0.003875        4
   63             6090         0.00164        0.003393        0
   64             6185        0.001625        0.002179        0
   65             6280        0.001625        0.004632        1
   66             6375        0.001625           1e+04        2
   67             6470        0.001614        0.002319        0
   68             6565        0.001614        0.002121        1
   69             6660        0.001611           0.002        0
   70             6755        0.001598        0.001962        0
   71             6850        0.001597        0.002465        0
   72             6945        0.001594        0.002854        0
   73             7040        0.001594        0.003087        1
   74             7135        0.001587        0.008017        0
   75             7230        0.001587           1e+04        1
   76             7325        0.001584        0.006786        0
   77             7420        0.001581        0.006119        0
   78             7515        0.001581           1e+04        1
   79             7610        0.001581        0.006606        2
   80             7705        0.001581        0.005169        3
   81             7800        0.001578        0.003542        0
   82             7895        0.001562           1e+04        0
   83             7990        0.001562        0.004258        1
   84             8085        0.001562        0.002511        2
   85             8180        0.001562        0.002279        3
   86             8275        0.001556         0.00205        0
   87             8370        0.001556        0.001916        1
   88             8465        0.001552        0.001851        0
   89             8560        0.001538        0.001925        0
   90             8655        0.001528        0.003337        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.001528         0.00465        1
   92             8845        0.001528        0.005903        0
   93             8940        0.001528        0.005552        1
   94             9035        0.001517        0.002479        0
   95             9130        0.001509        0.004004        0
   96             9225        0.001502         0.00426        0
   97             9320        0.001502        0.006038        1
   98             9415        0.001502        0.004287        2
   99             9510        0.001502         0.00386        3
  100             9605        0.001502        0.003535        4
  101             9700        0.001486        0.003111        0
  102             9795        0.001486        0.002153        1
  103             9890        0.001485        0.002029        0
  104             9985        0.001485        0.001812        0
  105            10080        0.001485        0.003202        1
  106            10175        0.001485        0.001938        2
  107            10270        0.001484        0.001711        0
  108            10365        0.001481        0.001852        0
  109            10460        0.001481        0.002106        0
  110            10555        0.001476         0.00395        0
  111            10650        0.001476        0.004237        1
  112            10745        0.001476        0.003398        2
  113            10840        0.001476        0.003138        3
  114            10935        0.001476        0.002877        4
