
Single objective optimization:
26 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.02186         7.4e+05        0
    2              295         0.02064         7.4e+05        0
    3              390          0.0194         6.5e+05        0
    4              485          0.0194         5.9e+05        1
    5              580          0.0194         5.3e+05        2
    6              675          0.0194           4e+05        3
    7              770         0.01713         2.8e+05        0
    8              865          0.0155         2.2e+05        0
    9              960         0.01283         1.8e+05        0
   10             1055        0.009588         1.1e+05        0
   11             1150        0.009588           8e+04        1
   12             1245        0.009588           5e+04        2
   13             1340         0.00829         1.2e+05        0
   14             1435         0.00829         1.4e+05        1
   15             1530         0.00829         1.1e+05        2
   16             1625        0.007694         1.1e+05        0
   17             1720        0.007553           1e+05        0
   18             1815          0.0068         1.1e+05        0
   19             1910          0.0068           8e+04        1
   20             2005        0.006508           9e+04        0
   21             2100        0.006508           8e+04        1
   22             2195        0.006473           9e+04        0
   23             2290        0.006473           7e+04        1
   24             2385        0.006473           8e+04        2
   25             2480        0.006152           1e+05        0
   26             2575        0.006145           9e+04        0
   27             2670        0.006145           5e+04        1
   28             2765        0.006145         1.1e+05        2
   29             2860        0.006145           9e+04        3
   30             2955        0.006145         1.5e+05        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.005589         1.4e+05        0
   32             3145        0.005232         1.3e+05        0
   33             3240        0.005221         1.4e+05        0
   34             3335        0.004983           1e+05        0
   35             3430        0.004983           4e+04        1
   36             3525        0.004825           6e+04        0
   37             3620        0.004786           6e+04        0
   38             3715        0.004628           5e+04        0
   39             3810        0.004628           4e+04        1
   40             3905        0.004628           7e+04        2
   41             4000        0.004617           8e+04        0
   42             4095        0.004617           4e+04        1
   43             4190        0.004617           5e+04        2
   44             4285        0.004557           6e+04        0
   45             4380        0.004557         1.1e+05        1
   46             4475        0.004545         1.2e+05        0
   47             4570        0.004488         1.1e+05        0
   48             4665        0.004482         1.1e+05        0
   49             4760        0.004374           6e+04        0
   50             4855        0.004374           3e+04        1
   51             4950        0.004316           7e+04        0
   52             5045        0.004316           3e+04        1
   53             5140        0.004316           5e+04        2
   54             5235        0.004316           7e+04        3
   55             5330         0.00431           7e+04        0
   56             5425         0.00431         1.3e+05        1
   57             5520         0.00431         1.4e+05        2
   58             5615         0.00431           8e+04        3
   59             5710        0.004203           8e+04        0
   60             5805        0.004164           7e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.004153           9e+04        0
   62             5995        0.004149         1.2e+05        0
   63             6090        0.004117         1.3e+05        0
   64             6185        0.004108           4e+04        0
   65             6280        0.004108           2e+04        1
   66             6375        0.004108         1.1e+05        2
   67             6470        0.004108         1.4e+05        3
   68             6565        0.004108           9e+04        4
   69             6660        0.004065           7e+04        0
   70             6755        0.004059           9e+04        0
   71             6850        0.004059         1.2e+05        1
   72             6945        0.004059         1.7e+05        2
   73             7040        0.004059         1.8e+05        3
   74             7135        0.004059         1.2e+05        4
   75             7230        0.003994         1.1e+05        0
   76             7325        0.003978           9e+04        0
   77             7420        0.003977           1e+05        0
   78             7515        0.003969         1.2e+05        0
   79             7610        0.003969         1.8e+05        1
   80             7705        0.003956         1.5e+05        0
   81             7800        0.003956         1.5e+05        1
   82             7895        0.003956         1.7e+05        2
   83             7990        0.003956         1.9e+05        3
   84             8085        0.003956         1.3e+05        4
   85             8180        0.003956           5e+04        5
   86             8275        0.003823           5e+04        0
   87             8370        0.003823           4e+04        1
   88             8465        0.003822           3e+04        0
   89             8560        0.003553           7e+04        0
   90             8655        0.003447           8e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.003212           6e+04        0
   92             8845        0.003212           6e+04        1
   93             8940        0.003197         1.1e+05        0
   94             9035        0.003104         1.3e+05        0
   95             9130        0.003104         1.6e+05        1
   96             9225        0.003104         1.2e+05        2
   97             9320        0.003084           9e+04        0
   98             9415        0.003079         1.1e+05        0
   99             9510        0.003004         1.4e+05        0
  100             9605        0.003004         1.7e+05        1
  101             9700        0.003004         1.9e+05        2
  102             9795        0.003004         1.5e+05        3
  103             9890        0.003004         1.2e+05        4
  104             9985        0.002983         1.1e+05        0
  105            10080        0.002982           9e+04        0
  106            10175        0.002982         1.1e+05        1
  107            10270        0.002982           9e+04        2
  108            10365        0.002969           9e+04        0
  109            10460        0.002892           9e+04        0
  110            10555        0.002851           7e+04        0
  111            10650        0.002851         1.4e+05        1
  112            10745        0.002812         1.6e+05        0
  113            10840        0.002809         1.7e+05        0
  114            10935        0.002804         1.6e+05        0
  115            11030        0.002769           8e+04        0
  116            11125        0.002769           6e+04        1
  117            11220        0.002753         1.2e+05        0
  118            11315         0.00275           4e+04        0
  119            11410         0.00275           3e+04        1
  120            11505         0.00275         1.1e+05        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600         0.00275         1.3e+05        3
  122            11695         0.00275         1.3e+05        4
  123            11790        0.002419         1.2e+05        0
  124            11885        0.002419           7e+04        1
  125            11980        0.002419           9e+04        2
  126            12075        0.002355           7e+04        0
  127            12170        0.002322           5e+04        0
  128            12265        0.002255         1.2e+05        0
  129            12360        0.002046         1.3e+05        0
  130            12455        0.002028           2e+05        0
  131            12550        0.002028           7e+04        1
  132            12645        0.002023         1.2e+05        0
  133            12740        0.001735           8e+04        0
  134            12835        0.001735           5e+04        1
  135            12930        0.001735         1.2e+05        2
  136            13025        0.001735         1.6e+05        3
  137            13120        0.001735         1.3e+05        4
  138            13215        0.001735         1.5e+05        5
  139            13310        0.001522           8e+04        0
  140            13405        0.001516           1e+05        0
  141            13500        0.001516         1.5e+05        1
  142            13595        0.001454         1.4e+05        0
  143            13690        0.001454         1.2e+05        0
  144            13785        0.001454         1.6e+05        1
  145            13880        0.001448         1.4e+05        0
  146            13975        0.001448         1.6e+05        0
  147            14070        0.001448         2.1e+05        1
  148            14165        0.001418         1.8e+05        0
Optimization terminated: minimum fitness limit reached.
