
Single objective optimization:
26 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.03229         7.8e+05        0
    2              295          0.0319         6.9e+05        0
    3              390          0.0319         6.2e+05        1
    4              485          0.0319         5.8e+05        2
    5              580          0.0309         4.8e+05        0
    6              675          0.0309           3e+05        1
    7              770         0.02762         2.3e+05        0
    8              865         0.02706         1.8e+05        0
    9              960         0.02679           9e+04        0
   10             1055         0.02618           8e+04        0
   11             1150         0.02463           5e+04        0
   12             1245         0.02463           4e+04        1
   13             1340         0.02029           9e+04        0
   14             1435          0.0195           7e+04        0
   15             1530         0.01859           5e+04        0
   16             1625         0.01859           3e+04        1
   17             1720         0.01848           6e+04        0
   18             1815         0.01826           5e+04        0
   19             1910         0.01813           3e+04        0
   20             2005         0.01813           1e+04        1
   21             2100         0.01798           8e+04        0
   22             2195         0.01798           2e+04        1
   23             2290         0.01761           7e+04        0
   24             2385         0.01761           4e+04        1
   25             2480         0.01761           8e+04        2
   26             2575         0.01756         1.4e+05        0
   27             2670         0.01756         1.4e+05        1
   28             2765         0.01744         1.4e+05        0
   29             2860         0.01732         1.2e+05        0
   30             2955         0.01725           5e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050         0.01725           3e+04        1
   32             3145         0.01725           9e+04        2
   33             3240         0.01712         1.2e+05        0
   34             3335         0.01699           9e+04        0
   35             3430         0.01677           6e+04        0
   36             3525         0.01606           3e+04        0
   37             3620         0.01563         0.01962        0
   38             3715         0.01563         0.01857        1
   39             3810         0.01563           9e+04        2
   40             3905         0.01563           8e+04        3
   41             4000         0.01563         1.3e+05        4
   42             4095         0.01525         1.1e+05        0
   43             4190         0.01488         1.3e+05        0
   44             4285         0.01133         1.9e+05        0
   45             4380         0.01133         1.3e+05        1
   46             4475          0.0111         1.2e+05        0
   47             4570         0.01061         1.4e+05        0
   48             4665        0.009207           9e+04        0
   49             4760        0.009207           4e+04        1
   50             4855        0.008832           6e+04        0
   51             4950        0.008832           5e+04        1
   52             5045        0.008044         1.1e+05        0
   53             5140        0.007718           7e+04        0
   54             5235        0.007718           6e+04        1
   55             5330        0.007718         1.1e+05        2
   56             5425        0.006673           9e+04        0
   57             5520        0.006672         1.9e+05        0
   58             5615        0.006672           1e+05        1
   59             5710        0.006529         1.2e+05        0
   60             5805        0.006282           6e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.006213           2e+04        0
   62             5995        0.006213           1e+04        1
   63             6090        0.006213           6e+04        2
   64             6185        0.006213           9e+04        3
   65             6280        0.006213         1.5e+05        4
   66             6375        0.006213           1e+05        5
   67             6470        0.006212         1.4e+05        0
   68             6565        0.005905           6e+04        0
   69             6660           0.005           8e+04        0
