
Single objective optimization:
24 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.03662         7.9e+05        0
    2              295         0.03662         7.1e+05        1
    3              390         0.03662         6.9e+05        2
    4              485         0.03662         6.6e+05        3
    5              580         0.03662         6.6e+05        4
    6              675          0.0337         6.2e+05        0
    7              770          0.0256         5.6e+05        0
    8              865         0.01983         4.6e+05        0
    9              960         0.01983         4.5e+05        1
   10             1055         0.01983         3.8e+05        2
   11             1150         0.01964         3.7e+05        0
   12             1245         0.01964         4.2e+05        1
   13             1340         0.01707         4.6e+05        0
   14             1435         0.01203         4.8e+05        0
   15             1530         0.01203         3.9e+05        1
   16             1625         0.01192         3.5e+05        0
   17             1720          0.0118         3.1e+05        0
   18             1815         0.01175         2.6e+05        0
   19             1910         0.01175         1.9e+05        1
   20             2005         0.01175         2.8e+05        2
   21             2100         0.01175         2.4e+05        3
   22             2195         0.01175         2.8e+05        4
   23             2290         0.01175           3e+05        5
   24             2385        0.008215         3.1e+05        0
   25             2480        0.008215         2.8e+05        1
   26             2575        0.008215         3.7e+05        2
   27             2670        0.007959         3.8e+05        0
   28             2765        0.007923         3.1e+05        0
   29             2860        0.005865           3e+05        0
   30             2955         0.00586         2.8e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050         0.00567         3.8e+05        0
   32             3145        0.004711         3.3e+05        0
   33             3240        0.004675         2.9e+05        0
   34             3335        0.004147         1.5e+05        0
   35             3430        0.004147         1.2e+05        1
   36             3525        0.003168         1.8e+05        0
   37             3620        0.003168         1.9e+05        1
   38             3715        0.003168         2.4e+05        2
   39             3810        0.003131         2.6e+05        0
   40             3905        0.003131         3.1e+05        1
   41             4000        0.003131         2.8e+05        0
   42             4095        0.003118           3e+05        0
   43             4190        0.003117         2.6e+05        0
   44             4285        0.003117         1.7e+05        0
   45             4380        0.003117           9e+04        1
   46             4475        0.003117         1.1e+05        2
   47             4570        0.003117         1.5e+05        3
   48             4665         0.00311           2e+05        0
   49             4760         0.00311         2.8e+05        0
   50             4855        0.003058         2.5e+05        0
   51             4950        0.003055         1.5e+05        0
   52             5045        0.003055         1.1e+05        0
   53             5140        0.003055           8e+04        0
   54             5235        0.003055           5e+04        1
   55             5330        0.002995           1e+05        0
   56             5425        0.002969           3e+04        0
   57             5520        0.002969           3e+04        1
   58             5615        0.002754           1e+05        0
   59             5710         0.00275           8e+04        0
   60             5805         0.00275           8e+04        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900         0.00275         1.5e+05        2
   62             5995         0.00275         1.8e+05        3
   63             6090         0.00275         2.2e+05        4
   64             6185         0.00275         2.7e+05        5
   65             6280         0.00275         2.2e+05        0
   66             6375        0.002744         2.2e+05        0
   67             6470        0.002744         2.6e+05        1
   68             6565        0.002744         2.4e+05        2
   69             6660        0.002744           3e+05        0
   70             6755        0.002744         3.5e+05        1
   71             6850        0.002744         3.3e+05        2
   72             6945        0.002744         3.1e+05        3
   73             7040        0.002744         2.6e+05        4
   74             7135        0.002693         1.7e+05        0
   75             7230        0.002686         2.2e+05        0
   76             7325        0.002683         2.1e+05        0
   77             7420        0.002676           2e+05        0
   78             7515        0.002551         2.4e+05        0
   79             7610        0.002545         2.6e+05        0
   80             7705        0.002479         3.1e+05        0
   81             7800        0.002465         2.7e+05        0
   82             7895        0.002457         1.8e+05        0
   83             7990        0.002457         1.4e+05        1
   84             8085        0.002415         1.4e+05        0
   85             8180        0.002415           1e+05        1
   86             8275        0.002415         1.4e+05        2
   87             8370        0.002412         2.6e+05        0
   88             8465        0.002412         3.1e+05        0
   89             8560        0.002412         2.4e+05        1
   90             8655          0.0024         2.3e+05        0

                                  Best           Mean      Stall
