
Single objective optimization:
25 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200        0.008115         0.02414        0
    2              295        0.008115         0.02143        1
    3              390        0.008106         0.01865        0
    4              485        0.008106         0.01726        1
    5              580        0.005665         0.01573        0
    6              675        0.005665          0.0149        1
    7              770        0.005665         0.01289        2
    8              865        0.005665         0.01053        3
    9              960        0.005641        0.009278        0
   10             1055        0.005641        0.008918        1
   11             1150        0.005392        0.007574        0
   12             1245        0.005392        0.006902        1
   13             1340        0.005392         0.00662        2
   14             1435        0.005382        0.006201        0
   15             1530        0.005228        0.006087        0
   16             1625        0.005149        0.005901        0
   17             1720        0.005091        0.006094        0
   18             1815        0.005091        0.007795        1
   19             1910        0.004969        0.007471        0
   20             2005        0.004969        0.007687        1
   21             2100        0.004969        0.007767        2
   22             2195        0.004969        0.006693        3
   23             2290        0.004969        0.006333        4
   24             2385        0.004969        0.005542        5
   25             2480        0.004968         0.00518        0
   26             2575        0.004939        0.005151        0
   27             2670        0.004939        0.005154        1
   28             2765        0.004939        0.005088        2
   29             2860        0.004939        0.005116        3
   30             2955        0.004939        0.005048        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.004939        0.005014        5
   32             3145        0.004929        0.004955        0
   33             3240        0.004927        0.004953        0
   34             3335        0.004907        0.004952        0
   35             3430        0.004895        0.004986        0
   36             3525        0.004894        0.004974        0
   37             3620        0.004892        0.005204        0
   38             3715        0.004892        0.005547        1
   39             3810        0.004885        0.005431        0
   40             3905         0.00485        0.005634        0
   41             4000        0.004849        0.006419        0
   42             4095        0.004849        0.007179        1
   43             4190        0.004849        0.006693        2
   44             4285        0.004849        0.005932        3
   45             4380        0.004849        0.005342        4
   46             4475        0.004849        0.005219        5
   47             4570        0.004849        0.005004        6
   48             4665        0.004849        0.004892        7
   49             4760        0.004848        0.004869        0
   50             4855        0.004848        0.004887        0
   51             4950        0.004836        0.004938        0
   52             5045        0.004836        0.004951        1
   53             5140        0.004835        0.004983        0
   54             5235        0.004835         0.00511        0
   55             5330        0.004816        0.004901        0
   56             5425        0.004786        0.005292        0
   57             5520        0.004786        0.006244        1
   58             5615        0.004786        0.005947        2
   59             5710        0.004786        0.005705        3
   60             5805        0.004786        0.005476        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.004786        0.005256        0
   62             5995        0.004786        0.005276        1
   63             6090        0.004786        0.005201        2
   64             6185        0.004786        0.005039        3
   65             6280        0.004786        0.004986        4
   66             6375        0.004786        0.004923        5
   67             6470        0.004786        0.004828        6
   68             6565        0.004776        0.004821        0
   69             6660        0.004776        0.004814        1
   70             6755        0.004776        0.004812        2
   71             6850        0.004775        0.004808        0
   72             6945        0.004775        0.004806        1
   73             7040        0.004775        0.004779        2
   74             7135        0.004775        0.004777        3
   75             7230        0.004774        0.004776        0
   76             7325        0.004774        0.004776        0
   77             7420        0.004774        0.004776        1
   78             7515        0.004774        0.004775        2
   79             7610        0.004774        0.004775        3
   80             7705        0.004774        0.004775        4
   81             7800        0.004774        0.004775        5
   82             7895        0.004774        0.004775        6
   83             7990        0.004774        0.004775        0
   84             8085        0.004774        0.004775        0
   85             8180        0.004774        0.004775        1
   86             8275        0.004774        0.004775        0
   87             8370        0.004774        0.004775        1
   88             8465        0.004774        0.004775        2
   89             8560        0.004774        0.004775        3
   90             8655        0.004774        0.004775        4

