
Single objective optimization:
26 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200        0.008029         7.7e+05        0
    2              295        0.008029         7.4e+05        1
    3              390        0.008029         7.6e+05        2
    4              485        0.008029         6.7e+05        3
    5              580        0.008029         5.8e+05        4
    6              675        0.007572         5.5e+05        0
    7              770        0.007075         3.7e+05        0
    8              865        0.006868         3.6e+05        0
    9              960        0.006868         3.1e+05        1
   10             1055        0.006301         2.5e+05        0
   11             1150        0.005853         1.9e+05        0
   12             1245        0.005853           1e+05        1
   13             1340        0.005597         1.3e+05        0
   14             1435        0.004929           8e+04        0
   15             1530        0.004848           5e+04        0
   16             1625        0.004402           1e+04        0
   17             1720        0.004217           1e+04        0
   18             1815        0.003998        0.007488        0
   19             1910        0.003766        0.006288        0
   20             2005        0.003766        0.005598        1
   21             2100        0.003714           8e+04        0
   22             2195         0.00347           2e+04        0
   23             2290         0.00347           2e+04        1
   24             2385         0.00347           7e+04        2
   25             2480        0.003254           1e+05        0
   26             2575        0.003254         1.5e+05        1
   27             2670        0.003254         1.8e+05        2
   28             2765        0.003254           2e+05        3
   29             2860        0.003254         1.9e+05        4
   30             2955        0.003254         1.2e+05        5

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.003225         1.1e+05        0
   32             3145        0.003225           1e+05        0
   33             3240        0.003101           9e+04        0
   34             3335        0.003075         1.2e+05        0
   35             3430        0.003072         1.2e+05        0
   36             3525        0.003072         1.6e+05        1
   37             3620        0.003072         1.8e+05        2
   38             3715        0.003041         1.6e+05        0
   39             3810        0.002948         1.4e+05        0
   40             3905        0.002908         1.8e+05        0
   41             4000        0.002908           8e+04        1
   42             4095        0.002908         1.2e+05        2
   43             4190        0.002908         1.1e+05        3
   44             4285        0.002908         1.1e+05        4
   45             4380        0.002908         1.5e+05        5
   46             4475        0.002908         1.5e+05        6
   47             4570        0.002901         1.4e+05        0
   48             4665        0.002901         1.1e+05        1
   49             4760        0.002831           8e+04        0
   50             4855        0.002831           9e+04        1
   51             4950        0.002812         1.1e+05        0
   52             5045        0.002812           1e+05        1
   53             5140         0.00281           7e+04        0
   54             5235        0.002762           1e+05        0
   55             5330         0.00276           1e+05        0
   56             5425        0.002746         1.3e+05        0
   57             5520        0.002746         1.7e+05        1
   58             5615        0.002744         1.2e+05        0
   59             5710        0.002737         1.5e+05        0
   60             5805        0.002737         1.9e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.002737         2.3e+05        2
   62             5995        0.002737         2.2e+05        3
   63             6090        0.002737         1.4e+05        4
   64             6185        0.002692         1.3e+05        0
   65             6280        0.002692           9e+04        1
   66             6375        0.002684           1e+05        0
   67             6470        0.002579         1.1e+05        0
   68             6565        0.002579         1.5e+05        1
   69             6660        0.002579         1.4e+05        2
   70             6755        0.002579         1.3e+05        3
   71             6850        0.002281           1e+05        0
   72             6945        0.002281           9e+04        1
   73             7040        0.002281         1.2e+05        2
   74             7135        0.002278           1e+05        0
   75             7230        0.002273           7e+04        0
   76             7325        0.002061           1e+05        0
   77             7420        0.002019         1.5e+05        0
   78             7515        0.002019         1.4e+05        1
   79             7610        0.002003         1.6e+05        0
   80             7705        0.002002         2.2e+05        0
   81             7800        0.002002         1.7e+05        1
   82             7895        0.001965         1.6e+05        0
   83             7990        0.001957         2.2e+05        0
   84             8085        0.001956         1.9e+05        0
   85             8180        0.001952         1.2e+05        0
   86             8275        0.001952           7e+04        0
   87             8370        0.001952           6e+04        1
   88             8465        0.001952           1e+05        2
   89             8560        0.001952         1.4e+05        3
   90             8655        0.001952         1.2e+05        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.001952         1.5e+05        5
   92             8845        0.001952         1.3e+05        6
   93             8940        0.001913         1.3e+05        0
   94             9035        0.001913           1e+05        1
   95             9130        0.001881           9e+04        0
   96             9225        0.001807           9e+04        0
   97             9320        0.001807           9e+04        1
   98             9415        0.001805         1.3e+05        0
   99             9510        0.001779         1.3e+05        0
  100             9605        0.001711         1.3e+05        0
  101             9700        0.001711         1.5e+05        1
  102             9795         0.00169         1.5e+05        0
  103             9890        0.001624         1.8e+05        0
  104             9985        0.001624           2e+05        1
  105            10080        0.001624         2.2e+05        2
  106            10175        0.001624         1.9e+05        3
  107            10270        0.001624         2.1e+05        4
  108            10365        0.001624         1.7e+05        5
  109            10460        0.001619         1.2e+05        0
  110            10555        0.001457         1.8e+05        0
  111            10650        0.001452         1.5e+05        0
  112            10745        0.001452         1.5e+05        1
  113            10840        0.001415         1.2e+05        0
Optimization terminated: minimum fitness limit reached.
