
Single objective optimization:
25 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.03369           4e+04        0
    2              295         0.01702           4e+04        0
    3              390         0.01702           5e+04        1
    4              485         0.01223           2e+04        0
    5              580         0.01223           6e+04        1
    6              675         0.01223           4e+04        2
    7              770         0.01223           1e+04        3
    8              865         0.01139           4e+04        0
    9              960        0.009545           4e+04        0
   10             1055        0.009545           5e+04        1
   11             1150        0.008841           3e+04        0
   12             1245        0.007571           3e+04        0
   13             1340        0.007571           2e+04        1
   14             1435        0.007571           2e+04        2
   15             1530        0.007571           1e+04        3
   16             1625        0.007571           1e+04        4
   17             1720        0.007571           1e+04        5
   18             1815        0.007238           1e+04        0
   19             1910        0.006966         0.01488        0
   20             2005        0.006966         0.01326        1
   21             2100        0.006966         0.01372        2
   22             2195        0.006966         0.01277        3
   23             2290        0.006814         0.01202        0
   24             2385        0.005949         0.01254        0
   25             2480        0.005949         0.01192        1
   26             2575        0.005949         0.01153        2
   27             2670        0.005932         0.01107        0
   28             2765        0.005884         0.01099        0
   29             2860        0.005862         0.01073        0
   30             2955        0.005815         0.01082        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.005815         0.01074        1
   32             3145        0.005656         0.01072        0
   33             3240        0.005656         0.01116        1
   34             3335        0.005656         0.01069        2
   35             3430        0.005656        0.009699        3
   36             3525        0.005656        0.009198        4
   37             3620        0.005656        0.008531        5
   38             3715        0.005638        0.007839        0
   39             3810        0.005638        0.007379        1
   40             3905        0.005638           0.007        2
   41             4000        0.005638        0.006803        3
   42             4095        0.005638        0.006293        4
   43             4190        0.005636        0.006162        0
   44             4285        0.005636        0.006124        1
   45             4380        0.005632         0.00599        0
   46             4475        0.005632        0.006012        1
   47             4570        0.005632        0.006038        2
   48             4665        0.005632        0.006068        3
   49             4760        0.005632        0.006234        0
   50             4855        0.005632        0.006287        0
   51             4950        0.005631        0.006516        0
   52             5045        0.005631        0.006365        1
   53             5140        0.005631        0.006236        2
   54             5235        0.005631        0.006333        3
   55             5330        0.005631        0.006213        4
   56             5425        0.005631        0.005981        0
   57             5520        0.005631        0.006097        1
   58             5615        0.005631         0.00575        0
   59             5710        0.005631        0.005862        1
   60             5805        0.005631        0.005969        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.005631        0.005968        3
   62             5995        0.005631        0.005857        0
   63             6090        0.005631        0.005858        1
   64             6185        0.005631        0.005968        2
   65             6280        0.005631        0.006245        3
   66             6375        0.005631        0.006301        4
   67             6470         0.00563         0.00619        0
   68             6565         0.00563        0.006191        0
   69             6660         0.00563        0.006248        1
   70             6755         0.00563        0.006638        2
   71             6850         0.00563        0.006303        3
   72             6945         0.00563        0.006138        4
   73             7040         0.00563        0.006024        0
   74             7135         0.00563         0.00608        1
   75             7230         0.00563        0.006024        2
   76             7325         0.00563        0.006246        3
   77             7420         0.00563        0.006134        0
   78             7515         0.00563        0.006305        0
   79             7610         0.00563        0.006308        1
   80             7705         0.00563        0.006027        0
   81             7800         0.00563        0.006194        1
   82             7895        0.005628        0.006085        0
   83             7990        0.005628        0.006429        1
   84             8085        0.005628        0.006255        2
   85             8180        0.005628        0.006487        0
   86             8275        0.005628        0.006313        1
   87             8370        0.005628         0.00667        2
   88             8465        0.005628        0.006553        3
   89             8560        0.005628        0.006546        4
   90             8655        0.005628        0.006715        5

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.005628        0.007278        0
   92             8845        0.005628        0.007035        0
   93             8940        0.005627        0.007318        0
   94             9035        0.005627        0.006836        1
   95             9130        0.005627        0.006322        2
   96             9225        0.005627        0.006535        3
   97             9320        0.005627         0.00632        0
   98             9415        0.005627        0.006485        1
   99             9510        0.005627         0.00636        2
  100             9605        0.005627        0.006306        3
  101             9700        0.005627        0.006314        4
  102             9795        0.005627        0.006635        5
  103             9890        0.005627        0.006523        6
  104             9985        0.005627        0.006412        0
  105            10080        0.005627        0.006801        1
  106            10175        0.005626        0.006301        0
  107            10270        0.005626         0.00658        1
  108            10365        0.005626         0.00647        0
  109            10460        0.005626        0.006243        1
  110            10555        0.005626        0.006412        2
  111            10650        0.005626         0.00647        3
  112            10745        0.005626        0.006414        0
  113            10840        0.005626        0.006579        1
  114            10935        0.005625        0.006742        0
  115            11030        0.005625        0.006468        0
  116            11125        0.005624        0.006763        0
  117            11220        0.005624        0.006653        1
  118            11315        0.005624        0.006539        0
  119            11410        0.005624        0.006601        1
  120            11505        0.005624        0.006089        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600        0.005624        0.006363        3
  122            11695        0.005624        0.006702        4
  123            11790        0.005623        0.006359        0
  124            11885        0.005623        0.006305        1
  125            11980        0.005623        0.006526        2
  126            12075        0.005623        0.006472        0
  127            12170        0.005623        0.006748        1
  128            12265        0.005622        0.006633        0
  129            12360        0.005622        0.006188        1
  130            12455        0.005622        0.006413        2
  131            12550        0.005622         0.00624        3
  132            12645        0.005622        0.006072        0
  133            12740        0.005622        0.006634        1
  134            12835        0.005622        0.006739        2
  135            12930        0.005622        0.006689        3
  136            13025        0.005622        0.006241        4
  137            13120        0.005622        0.006182        0
  138            13215        0.005621        0.006294        0
  139            13310        0.005621        0.006463        1
  140            13405        0.005621        0.006408        2
  141            13500        0.005621        0.006183        0
  142            13595        0.005621        0.005964        0
  143            13690        0.005621        0.006296        0
  144            13785        0.005621        0.006477        0
  145            13880         0.00562        0.006381        0
  146            13975         0.00562        0.006351        1
  147            14070         0.00562        0.006346        0
  148            14165        0.005612        0.006316        0
  149            14260        0.005612        0.006788        1
  150            14355        0.005612        0.006385        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            14450        0.005612        0.006189        3
  152            14545        0.005612        0.006097        4
  153            14640        0.005612        0.006443        5
  154            14735        0.005612        0.006238        6
  155            14830        0.005609         0.00611        0
  156            14925        0.005604        0.006335        0
  157            15020        0.005604        0.006683        1
  158            15115        0.005601        0.006679        0
  159            15210        0.005601        0.007023        1
  160            15305        0.005601        0.006981        2
  161            15400        0.005601        0.006801        3
  162            15495          0.0056        0.007077        0
  163            15590          0.0056        0.006796        1
  164            15685          0.0056        0.006627        2
  165            15780          0.0056        0.006311        0
  166            15875        0.005599        0.006128        0
  167            15970        0.005599        0.006184        1
  168            16065        0.005599        0.006522        2
  169            16160        0.005598        0.006517        0
  170            16255        0.005598         0.00686        1
  171            16350        0.005598        0.007088        0
  172            16445        0.005598        0.006688        0
  173            16540        0.005598        0.006922        1
  174            16635        0.005598        0.006353        2
  175            16730        0.005598        0.006461        3
  176            16825        0.005598        0.006454        0
  177            16920        0.005597        0.006343        0
  178            17015        0.005597        0.006676        1
  179            17110        0.005597        0.006338        2
  180            17205        0.005597        0.006621        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            17300        0.005596        0.006055        0
  182            17395        0.005596        0.006169        1
  183            17490        0.005596        0.006332        2
  184            17585        0.005596        0.006392        3
  185            17680        0.005596        0.006338        4
  186            17775        0.005596        0.006272        0
  187            17870        0.005596         0.00605        1
  188            17965        0.005596        0.006049        0
  189            18060        0.005596         0.00638        1
  190            18155        0.005596        0.006614        2
  191            18250        0.005596          0.0065        0
  192            18345        0.005596        0.006384        1
  193            18440        0.005595        0.006047        0
  194            18535        0.005595        0.006158        1
  195            18630        0.005595          0.0065        2
  196            18725        0.005595        0.006438        0
  197            18820        0.005595        0.005938        1
  198            18915        0.005594        0.006101        0
  199            19010        0.005594         0.00633        1
  200            19105        0.005594        0.006555        2
  201            19200        0.005594        0.006833        3
  202            19295        0.005594        0.006604        0
  203            19390        0.005594         0.00633        0
  204            19485        0.005593        0.006213        0
  205            19580        0.005593        0.006568        1
  206            19675        0.005593        0.006346        2
  207            19770        0.005592        0.006393        0
  208            19865        0.005592        0.006396        1
  209            19960        0.005592        0.006338        2
  210            20055        0.005592        0.006388        0

