
Single objective optimization:
24 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.02526         7.9e+05        0
    2              295         0.02097         6.5e+05        0
    3              390         0.02097         6.4e+05        1
    4              485         0.02097         5.9e+05        2
    5              580         0.02097           6e+05        3
    6              675         0.02097         4.9e+05        4
    7              770         0.02097         4.8e+05        5
    8              865         0.01864         3.4e+05        0
    9              960         0.01864         3.1e+05        1
   10             1055         0.01283         3.1e+05        0
   11             1150         0.01283         2.5e+05        1
   12             1245         0.01085         2.2e+05        0
   13             1340        0.009724         2.7e+05        0
   14             1435        0.009724         2.6e+05        1
   15             1530        0.009674         2.2e+05        0
   16             1625        0.009674         2.7e+05        1
   17             1720        0.009353         2.8e+05        0
   18             1815        0.009353         2.6e+05        1
   19             1910        0.008594         2.6e+05        0
   20             2005        0.008536         2.9e+05        0
   21             2100        0.008536         2.6e+05        1
   22             2195        0.008536         2.9e+05        2
   23             2290        0.008536         2.4e+05        3
   24             2385        0.008446         2.2e+05        0
   25             2480        0.007351         2.2e+05        0
   26             2575        0.007289         2.6e+05        0
   27             2670        0.007086         3.2e+05        0
   28             2765        0.006949         2.3e+05        0
   29             2860        0.006895         1.5e+05        0
   30             2955        0.006895         1.2e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.006708         1.7e+05        0
   32             3145        0.006532           7e+04        0
   33             3240        0.006403           2e+04        0
   34             3335        0.006323         0.01689        0
   35             3430        0.006264           3e+04        0
   36             3525        0.006204           4e+04        0
   37             3620        0.006089           1e+04        0
   38             3715        0.006089           1e+04        1
   39             3810        0.006089         1.3e+05        2
   40             3905        0.006089         2.1e+05        3
   41             4000        0.006089         2.3e+05        4
   42             4095        0.005957         1.5e+05        0
   43             4190        0.005957         2.3e+05        1
   44             4285         0.00594         2.7e+05        0
   45             4380        0.005676         2.9e+05        0
   46             4475        0.005464         2.9e+05        0
   47             4570        0.005464         2.7e+05        0
   48             4665        0.005456         1.6e+05        0
   49             4760        0.005433         1.2e+05        0
   50             4855        0.005387           7e+04        0
   51             4950        0.005305           5e+04        0
   52             5045        0.005305           3e+04        1
