
Single objective optimization:
24 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.03605         7.9e+05        0
    2              295         0.03204         6.7e+05        0
    3              390         0.03204         6.1e+05        1
    4              485         0.03204         5.8e+05        2
    5              580         0.03204         5.3e+05        3
    6              675         0.03166         4.9e+05        0
    7              770         0.02475         4.4e+05        0
    8              865         0.02475         4.5e+05        1
    9              960         0.02182         3.5e+05        0
   10             1055          0.0193         3.2e+05        0
   11             1150          0.0193         2.9e+05        1
   12             1245         0.01776         2.3e+05        0
   13             1340         0.01776         1.9e+05        1
   14             1435          0.0164         2.3e+05        0
   15             1530          0.0164         1.2e+05        1
   16             1625         0.01542         2.2e+05        0
   17             1720         0.01507         1.3e+05        0
   18             1815         0.01092           9e+04        0
   19             1910         0.01088           8e+04        0
   20             2005         0.01087           4e+04        0
   21             2100         0.01078           2e+04        0
   22             2195         0.01076           2e+04        0
   23             2290         0.01076         0.01408        1
   24             2385         0.01076         1.6e+05        2
   25             2480         0.01076         2.2e+05        3
   26             2575         0.01076         2.7e+05        4
   27             2670         0.01076         2.6e+05        5
   28             2765         0.01009         2.4e+05        0
   29             2860        0.009576           2e+05        0
   30             2955        0.009153           2e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.009153         2.2e+05        1
   32             3145        0.009137         2.6e+05        0
   33             3240        0.008575         2.6e+05        0
   34             3335        0.008575         2.4e+05        1
   35             3430         0.00834         2.7e+05        0
   36             3525        0.008138         3.2e+05        0
   37             3620        0.008138           2e+05        1
   38             3715        0.008114         2.1e+05        0
   39             3810        0.008074         1.8e+05        0
   40             3905        0.008074           8e+04        1
   41             4000        0.008074           2e+05        2
   42             4095        0.008074         2.2e+05        3
   43             4190        0.007962         2.4e+05        0
   44             4285        0.007962         2.7e+05        1
   45             4380        0.007962         2.6e+05        2
   46             4475        0.007897         2.5e+05        0
   47             4570        0.007897         2.2e+05        1
   48             4665        0.007891         2.1e+05        0
   49             4760        0.007802           2e+05        0
   50             4855        0.007802         2.3e+05        1
   51             4950        0.007671         2.5e+05        0
   52             5045        0.007662           2e+05        0
   53             5140        0.006769         1.9e+05        0
   54             5235        0.006402         2.1e+05        0
   55             5330        0.006395         1.3e+05        0
   56             5425        0.006395           9e+04        1
   57             5520        0.006394         1.5e+05        0
   58             5615        0.006394         1.2e+05        1
   59             5710        0.006394         1.8e+05        2
   60             5805        0.006394         2.3e+05        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.006387         2.6e+05        0
   62             5995        0.006387         2.9e+05        1
   63             6090        0.006387         2.9e+05        2
   64             6185        0.006387         2.3e+05        3
   65             6280        0.006387         2.2e+05        4
   66             6375        0.006019         1.4e+05        0
   67             6470        0.006018           8e+04        0
   68             6565        0.006018         1.5e+05        1
   69             6660        0.006018         1.6e+05        2
   70             6755        0.006018           8e+04        3
   71             6850        0.006018           6e+04        4
   72             6945        0.005872           5e+04        0
   73             7040        0.004308           1e+04        0
   74             7135        0.004108           2e+04        0
   75             7230        0.003692           3e+04        0
   76             7325        0.003692           8e+04        1
   77             7420        0.003692         1.2e+05        2
   78             7515        0.003672           1e+05        0
   79             7610        0.003672           8e+04        0
   80             7705        0.003672         1.2e+05        1
   81             7800        0.003672         1.2e+05        2
   82             7895        0.003672           1e+05        3
   83             7990        0.003672         1.2e+05        0
   84             8085        0.003672         1.1e+05        0
   85             8180        0.003601         1.2e+05        0
   86             8275        0.003596         1.5e+05        0
   87             8370        0.003535         1.5e+05        0
   88             8465        0.003421         2.1e+05        0
   89             8560         0.00342         2.4e+05        0
   90             8655         0.00342         1.8e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.003419         1.8e+05        0
   92             8845        0.003415         1.4e+05        0
   93             8940        0.003415           1e+05        1
   94             9035        0.003415         1.6e+05        0
   95             9130        0.003406         1.1e+05        0
   96             9225        0.003405           3e+04        0
   97             9320        0.003405           1e+04        1
   98             9415        0.003405           8e+04        2
   99             9510        0.003405           2e+05        3
  100             9605        0.003402           2e+05        0
  101             9700        0.003399         3.1e+05        0
  102             9795        0.003399         2.8e+05        1
  103             9890        0.003399         2.8e+05        2
  104             9985        0.003399         2.7e+05        3
  105            10080        0.002946         3.1e+05        0
  106            10175        0.002928         3.2e+05        0
  107            10270         0.00292         2.8e+05        0
  108            10365        0.002886         2.6e+05        0
  109            10460        0.002879           2e+05        0
  110            10555        0.002871         1.2e+05        0
  111            10650        0.002864           9e+04        0
  112            10745        0.002864           9e+04        1
  113            10840        0.002864           1e+05        2
  114            10935        0.002857         1.5e+05        0
  115            11030        0.002857         1.6e+05        1
  116            11125        0.002857         1.6e+05        2
  117            11220        0.002857         2.2e+05        3
  118            11315        0.002791         2.2e+05        0
  119            11410        0.002791         2.2e+05        0
  120            11505         0.00279         2.5e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600         0.00279         2.4e+05        1
  122            11695         0.00279         2.1e+05        2
  123            11790         0.00279         2.3e+05        3
  124            11885         0.00279         2.3e+05        4
  125            11980         0.00279         1.6e+05        5
  126            12075         0.00279         1.4e+05        0
  127            12170         0.00279         1.7e+05        1
  128            12265         0.00279         1.3e+05        2
  129            12360        0.002789         1.6e+05        0
  130            12455        0.002789         1.8e+05        0
  131            12550        0.002789         1.9e+05        0
  132            12645        0.002757         1.9e+05        0
  133            12740        0.002752         1.8e+05        0
  134            12835        0.002752         2.2e+05        0
  135            12930        0.002752         1.8e+05        1
  136            13025        0.002752         2.5e+05        2
  137            13120        0.002748         2.4e+05        0
  138            13215        0.002748         2.1e+05        1
  139            13310        0.002748         1.8e+05        2
  140            13405        0.002748         1.8e+05        3
  141            13500        0.002748         1.8e+05        0
  142            13595        0.002748         1.5e+05        1
  143            13690        0.002743         1.8e+05        0
  144            13785        0.002743         1.6e+05        1
  145            13880        0.002587         1.5e+05        0
  146            13975        0.002587         1.5e+05        1
  147            14070        0.002575         1.4e+05        0
  148            14165        0.002575         1.7e+05        1
  149            14260        0.002533         1.6e+05        0
  150            14355        0.002533         1.3e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            14450        0.002528         1.7e+05        0
  152            14545        0.002528         1.9e+05        1
  153            14640        0.002528           2e+05        2
  154            14735        0.002524         1.3e+05        0
  155            14830        0.002524         1.7e+05        1
  156            14925        0.002524         1.9e+05        0
  157            15020        0.002524         1.7e+05        1
  158            15115        0.002524         1.8e+05        0
  159            15210        0.002511         2.2e+05        0
  160            15305        0.002511         2.1e+05        0
  161            15400        0.002511         2.7e+05        1
  162            15495        0.002296         2.2e+05        0
  163            15590        0.002296         2.4e+05        1
  164            15685        0.002296         2.6e+05        2
  165            15780        0.002296         2.2e+05        0
  166            15875        0.002296         1.7e+05        1
  167            15970        0.002295         1.8e+05        0
  168            16065        0.002295         1.8e+05        1
  169            16160        0.002295         1.7e+05        0
  170            16255        0.002254         1.5e+05        0
  171            16350        0.002219         1.9e+05        0
  172            16445         0.00209         2.6e+05        0
  173            16540        0.002064         2.5e+05        0
  174            16635        0.002028         1.9e+05        0
  175            16730        0.002028         1.1e+05        1
  176            16825        0.002026         1.2e+05        0
  177            16920         0.00201           8e+04        0
  178            17015        0.002003           4e+04        0
  179            17110        0.001988           1e+04        0
  180            17205        0.001988           1e+04        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            17300        0.001987           8e+04        0
  182            17395        0.001987           4e+04        1
  183            17490        0.001987         1.4e+05        2
  184            17585        0.001987         1.6e+05        3
  185            17680        0.001987         1.7e+05        4
  186            17775        0.001987         1.7e+05        5
  187            17870        0.001987         1.7e+05        6
  188            17965        0.001979           9e+04        0
  189            18060        0.001979           9e+04        1
  190            18155        0.001979           8e+04        2
  191            18250        0.001972           6e+04        0
  192            18345        0.001972         1.1e+05        1
  193            18440        0.001972           9e+04        2
  194            18535         0.00175           6e+04        0
  195            18630        0.001739           5e+04        0
  196            18725        0.001739           7e+04        1
  197            18820        0.001739           5e+04        2
  198            18915        0.001635        0.004155        0
  199            19010        0.001635           1e+04        1
  200            19105        0.001635           1e+04        2
  201            19200        0.001632           1e+04        0
  202            19295        0.001615        0.003517        0
  203            19390        0.001615        0.003846        0
  204            19485        0.001615           2e+04        1
  205            19580        0.001615           1e+04        0
  206            19675        0.001589           3e+04        0
  207            19770        0.001575           1e+04        0
  208            19865        0.001573           5e+04        0
  209            19960        0.001563         1.1e+05        0
  210            20055        0.001532         1.3e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            20150        0.001494         1.9e+05        0
  212            20245        0.001439           1e+05        0
Optimization terminated: minimum fitness limit reached.
