
Single objective optimization:
12 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200        0.008417         7.8e+05        0
    2              295        0.008417         6.9e+05        1
    3              390        0.008417         6.6e+05        2
    4              485        0.007807         5.6e+05        0
    5              580        0.007807         4.8e+05        1
    6              675        0.007433         3.2e+05        0
    7              770        0.005536         2.8e+05        0
    8              865        0.005536         2.2e+05        1
    9              960        0.005536           2e+05        2
   10             1055        0.005536         1.8e+05        3
   11             1150        0.005185         1.4e+05        0
   12             1245        0.005185         1.6e+05        1
   13             1340        0.005171           9e+04        0
   14             1435        0.005171           1e+05        1
   15             1530        0.004568         1.6e+05        0
   16             1625        0.004568         1.4e+05        1
   17             1720        0.004511         1.4e+05        0
   18             1815        0.004476         1.3e+05        0
   19             1910        0.004054         1.9e+05        0
   20             2005        0.004054           1e+05        1
   21             2100        0.004054         1.9e+05        2
   22             2195        0.004054         1.5e+05        3
   23             2290        0.004054         1.3e+05        4
   24             2385        0.004009         1.4e+05        0
   25             2480        0.004009           1e+05        1
   26             2575        0.004009         1.2e+05        2
   27             2670        0.003993           7e+04        0
   28             2765        0.003923           8e+04        0
   29             2860        0.003923           1e+05        1
   30             2955        0.003859           6e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.003859           7e+04        1
   32             3145        0.003676         1.1e+05        0
   33             3240        0.003661         1.7e+05        0
   34             3335        0.003661         1.6e+05        1
   35             3430        0.003646         1.3e+05        0
   36             3525        0.003646         1.6e+05        1
   37             3620        0.003646         1.7e+05        2
   38             3715        0.003646         1.2e+05        3
   39             3810        0.003646           7e+04        4
   40             3905        0.003646           4e+04        5
   41             4000         0.00357           3e+04        0
   42             4095         0.00355           1e+04        0
   43             4190        0.003276           1e+04        0
   44             4285        0.003276           3e+04        1
   45             4380        0.003209           1e+04        0
   46             4475        0.003209           3e+04        1
   47             4570        0.003186           1e+04        0
   48             4665        0.003175           5e+04        0
   49             4760        0.002813           6e+04        0
   50             4855        0.002809         1.4e+05        0
   51             4950        0.002611         1.6e+05        0
   52             5045        0.002611           6e+04        1
   53             5140        0.002611         1.8e+05        2
   54             5235        0.002611         1.5e+05        3
   55             5330        0.002611         1.2e+05        4
   56             5425        0.002594           1e+05        0
   57             5520        0.002594           1e+05        1
   58             5615        0.002594           1e+05        2
   59             5710        0.002594           5e+04        3
   60             5805        0.002594           3e+04        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.002594         0.01105        5
   62             5995        0.002557         0.00838        0
   63             6090         0.00253        0.005107        0
   64             6185        0.002484        0.004518        0
   65             6280        0.002484           1e+04        1
   66             6375        0.002484           1e+04        2
   67             6470        0.002483        0.005439        0
   68             6565        0.002483           1e+04        1
   69             6660        0.002456           1e+04        0
   70             6755        0.002456           1e+04        1
   71             6850        0.002456        0.004152        2
   72             6945        0.002456        0.003821        3
   73             7040        0.002447        0.003337        0
   74             7135        0.002407        0.003162        0
   75             7230        0.002393        0.003282        0
   76             7325        0.002345         0.00441        0
   77             7420        0.002345           1e+04        1
   78             7515        0.002345           1e+04        2
   79             7610        0.002345        0.004572        3
   80             7705        0.002326        0.003933        0
   81             7800        0.002108        0.003971        0
   82             7895        0.002077        0.004609        0
   83             7990        0.002031        0.005876        0
   84             8085        0.002017           2e+04        0
   85             8180        0.002017           7e+04        1
   86             8275        0.001963           8e+04        0
   87             8370        0.001963           8e+04        1
   88             8465        0.001963           9e+04        2
   89             8560        0.001963           8e+04        3
   90             8655        0.001961           5e+04        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.001961           3e+04        1
   92             8845        0.001957           2e+04        0
   93             8940        0.001957           2e+04        1
   94             9035        0.001954           2e+04        0
   95             9130        0.001954           1e+04        1
   96             9225        0.001954           1e+04        2
   97             9320        0.001952           1e+04        0
   98             9415        0.001951           1e+04        0
   99             9510        0.001931           1e+04        0
  100             9605        0.001894           1e+04        0
  101             9700        0.001894           9e+04        1
  102             9795        0.001858           1e+05        0
  103             9890        0.001854           8e+04        0
  104             9985        0.001854         1.3e+05        1
  105            10080        0.001854         1.1e+05        0
  106            10175        0.001854           1e+05        1
  107            10270        0.001854           1e+05        2
  108            10365        0.001854         1.3e+05        3
  109            10460        0.001854           8e+04        4
  110            10555        0.001854           4e+04        5
  111            10650        0.001854           4e+04        6
  112            10745        0.001854           1e+04        7
  113            10840        0.001854           1e+04        8
  114            10935        0.001821        0.003172        0
  115            11030        0.001782        0.002646        0
  116            11125        0.001746        0.002358        0
  117            11220        0.001746        0.002687        1
  118            11315        0.001674        0.002461        0
  119            11410        0.001665        0.002808        0
  120            11505        0.001638        0.003602        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600        0.001633           1e+04        0
  122            11695        0.001626           5e+04        0
  123            11790        0.001599           6e+04        0
  124            11885        0.001599         1.3e+05        1
  125            11980        0.001599           8e+04        2
  126            12075        0.001598           7e+04        0
  127            12170        0.001598           3e+04        1
  128            12265        0.001598           6e+04        2
  129            12360        0.001598           2e+04        3
  130            12455         0.00159           2e+04        0
  131            12550         0.00159           2e+04        1
  132            12645        0.001589        0.007667        0
  133            12740        0.001578        0.007077        0
  134            12835        0.001578         0.01051        1
  135            12930        0.001578           1e+04        2
  136            13025        0.001578           1e+04        3
  137            13120        0.001578         0.00661        4
  138            13215        0.001571        0.005113        0
  139            13310        0.001571        0.004117        1
  140            13405        0.001571        0.003296        2
  141            13500         0.00151        0.002275        0
  142            13595        0.001485        0.002182        0
  143            13690        0.001485        0.002428        1
  144            13785        0.001485         0.00236        2
  145            13880        0.001454        0.002129        0
  146            13975        0.001449        0.002207        0
  147            14070        0.001414         0.00264        0
Optimization terminated: minimum fitness limit reached.
