
Single objective optimization:
24 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.01166         7.8e+05        0
    2              295         0.01166         6.9e+05        1
    3              390         0.01166           6e+05        2
    4              485         0.01166         5.7e+05        3
    5              580         0.01166           6e+05        4
    6              675         0.01166         5.5e+05        5
    7              770         0.01166         4.5e+05        6
    8              865         0.01145         4.4e+05        0
    9              960        0.007454         3.4e+05        0
   10             1055        0.005133           4e+05        0
   11             1150        0.005133         3.8e+05        1
   12             1245        0.005133         3.6e+05        2
   13             1340        0.005133         3.2e+05        3
   14             1435        0.005133         2.8e+05        4
   15             1530         0.00462         1.7e+05        0
   16             1625        0.004418         2.1e+05        0
   17             1720        0.004307         3.1e+05        0
   18             1815        0.003978         3.7e+05        0
   19             1910        0.003978         3.3e+05        1
   20             2005        0.003978         3.5e+05        2
   21             2100        0.003977         3.3e+05        0
   22             2195        0.003977         3.3e+05        0
   23             2290        0.003694           3e+05        0
   24             2385        0.003694         3.6e+05        1
   25             2480        0.002966         3.8e+05        0
   26             2575        0.002966         4.1e+05        1
   27             2670        0.002929         3.9e+05        0
   28             2765        0.002922         3.5e+05        0
   29             2860        0.002745         3.6e+05        0
   30             2955        0.002546         2.5e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.002546         1.7e+05        1
   32             3145        0.002534         2.3e+05        0
   33             3240        0.002416         1.9e+05        0
   34             3335        0.002416         1.2e+05        1
   35             3430        0.002414         1.7e+05        0
   36             3525        0.002414         1.3e+05        1
   37             3620        0.002414         1.4e+05        2
   38             3715        0.002414         1.4e+05        3
   39             3810        0.002414         2.4e+05        4
   40             3905        0.002414         2.9e+05        5
   41             4000        0.002414         2.2e+05        6
   42             4095        0.002406         1.8e+05        0
   43             4190        0.002406           2e+05        1
   44             4285        0.002406         1.9e+05        2
   45             4380        0.002388           1e+05        0
   46             4475        0.002213         1.4e+05        0
   47             4570        0.002212           9e+04        0
   48             4665        0.002209         1.9e+05        0
   49             4760        0.002135         2.1e+05        0
   50             4855        0.002088         2.8e+05        0
   51             4950        0.002088         2.7e+05        0
   52             5045        0.002086           2e+05        0
   53             5140        0.002086         1.1e+05        1
   54             5235        0.002086         1.8e+05        0
   55             5330        0.002074           1e+05        0
   56             5425        0.002074           1e+05        1
   57             5520        0.002072         1.6e+05        0
   58             5615        0.002072         1.3e+05        1
   59             5710        0.002071         1.6e+05        0
   60             5805        0.002071         1.3e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.002071         1.1e+05        1
   62             5995        0.002071         1.2e+05        2
   63             6090        0.002071         2.1e+05        3
   64             6185        0.002062         2.5e+05        0
   65             6280        0.002062           3e+05        1
   66             6375        0.002062         3.5e+05        2
   67             6470        0.002062         2.6e+05        3
   68             6565        0.002062         2.3e+05        4
   69             6660         0.00205           2e+05        0
   70             6755         0.00205         1.7e+05        1
   71             6850        0.002045         1.5e+05        0
   72             6945        0.002045         1.5e+05        1
   73             7040        0.002045           1e+05        2
   74             7135        0.002044           9e+04        0
   75             7230        0.002044           9e+04        1
   76             7325        0.002043           5e+04        0
   77             7420        0.002043           9e+04        0
   78             7515        0.002043         1.3e+05        0
   79             7610        0.002041         1.9e+05        0
   80             7705        0.002041         2.5e+05        1
   81             7800        0.002041         3.1e+05        0
   82             7895        0.002041         3.1e+05        0
   83             7990        0.002041         3.3e+05        1
   84             8085        0.002041         3.2e+05        0
   85             8180        0.002039         3.7e+05        0
   86             8275        0.002038         3.1e+05        0
   87             8370        0.002038         2.1e+05        0
   88             8465        0.002036         2.2e+05        0
   89             8560        0.002024         1.9e+05        0
   90             8655        0.002022         1.4e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91             8750        0.002008           7e+04        0
   92             8845        0.002008           7e+04        0
   93             8940        0.002008           6e+04        1
   94             9035        0.002008         1.2e+05        2
   95             9130        0.002007         2.2e+05        0
   96             9225        0.002007         2.4e+05        1
   97             9320        0.002006         2.5e+05        0
   98             9415        0.001982         2.9e+05        0
   99             9510        0.001982         1.7e+05        0
  100             9605         0.00198           9e+04        0
  101             9700         0.00198           9e+04        0
  102             9795         0.00198           8e+04        1
  103             9890         0.00198         1.3e+05        2
  104             9985         0.00198         2.4e+05        3
  105            10080         0.00198         2.7e+05        4
  106            10175        0.001977         3.7e+05        0
  107            10270        0.001977         3.8e+05        1
  108            10365        0.001976           4e+05        0
  109            10460        0.001976         3.7e+05        1
  110            10555        0.001976           3e+05        2
  111            10650        0.001976         2.1e+05        3
  112            10745        0.001976         2.2e+05        4
  113            10840        0.001976         2.3e+05        5
  114            10935        0.001976         1.8e+05        0
  115            11030        0.001975         1.4e+05        0
  116            11125        0.001975         1.5e+05        1
  117            11220        0.001975           9e+04        2
  118            11315        0.001975           4e+04        0
  119            11410        0.001975           4e+04        1
  120            11505        0.001975           3e+04        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            11600        0.001956           2e+04        0
  122            11695        0.001955           2e+04        0
  123            11790        0.001955           7e+04        0
  124            11885        0.001932         1.4e+05        0
  125            11980        0.001931         1.3e+05        0
  126            12075        0.001919         1.6e+05        0
  127            12170        0.001908         1.9e+05        0
  128            12265        0.001908         2.4e+05        1
  129            12360        0.001868         2.8e+05        0
  130            12455        0.001868         3.7e+05        1
  131            12550        0.001858         3.4e+05        0
  132            12645        0.001858         3.5e+05        1
  133            12740        0.001858         3.3e+05        2
  134            12835        0.001858         3.2e+05        3
  135            12930        0.001856         2.9e+05        0
  136            13025        0.001848         2.9e+05        0
  137            13120        0.001848         3.2e+05        1
  138            13215        0.001847         2.6e+05        0
  139            13310        0.001847         3.4e+05        0
  140            13405        0.001847           4e+05        1
  141            13500        0.001847           4e+05        0
  142            13595        0.001847           4e+05        1
  143            13690        0.001847         3.9e+05        2
  144            13785        0.001846         2.9e+05        0
  145            13880        0.001846         3.3e+05        1
  146            13975        0.001846         3.7e+05        2
  147            14070        0.001829         2.7e+05        0
  148            14165        0.001829         3.1e+05        1
  149            14260        0.001829         2.9e+05        2
  150            14355        0.001827           2e+05        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            14450        0.001827         2.4e+05        1
  152            14545        0.001823         1.8e+05        0
  153            14640        0.001823         1.5e+05        0
  154            14735        0.001823         2.2e+05        1
  155            14830        0.001823         2.6e+05        2
  156            14925        0.001821         2.3e+05        0
  157            15020         0.00182         2.6e+05        0
  158            15115         0.00182         2.8e+05        1
  159            15210        0.001779           3e+05        0
  160            15305        0.001779         2.2e+05        1
  161            15400        0.001759         2.3e+05        0
  162            15495        0.001759         2.3e+05        1
  163            15590        0.001757         2.3e+05        0
  164            15685        0.001757         2.3e+05        1
  165            15780        0.001754         2.3e+05        0
  166            15875        0.001754         2.1e+05        1
  167            15970        0.001754         2.5e+05        2
  168            16065        0.001753         2.3e+05        0
  169            16160        0.001753         2.3e+05        1
