
Single objective optimization:
24 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              200         0.02864         7.9e+05        0
    2              295         0.02864         6.6e+05        1
    3              390         0.02864         6.6e+05        2
    4              485         0.02864         6.6e+05        3
    5              580         0.02864           5e+05        4
    6              675         0.02864         5.1e+05        5
    7              770         0.01962           4e+05        0
    8              865          0.0158         4.1e+05        0
    9              960         0.01176         3.3e+05        0
   10             1055         0.01176         3.1e+05        1
   11             1150         0.01066         3.3e+05        0
   12             1245         0.01019         3.6e+05        0
   13             1340        0.007965         3.3e+05        0
   14             1435        0.006793         2.7e+05        0
   15             1530        0.005247         2.1e+05        0
   16             1625        0.005247           1e+05        1
   17             1720        0.005247         2.1e+05        2
   18             1815        0.005183         2.6e+05        0
   19             1910         0.00516         2.6e+05        0
   20             2005        0.004774         2.3e+05        0
   21             2100         0.00471         1.4e+05        0
   22             2195        0.004706           8e+04        0
   23             2290         0.00467           7e+04        0
   24             2385        0.004661           3e+04        0
   25             2480        0.004661           5e+04        1
   26             2575        0.004661         1.2e+05        2
   27             2670        0.004182         2.1e+05        0
   28             2765        0.004182         2.1e+05        1
   29             2860        0.004182         2.5e+05        2
   30             2955        0.004182         2.9e+05        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             3050        0.004182         2.7e+05        4
   32             3145        0.004113         3.1e+05        0
   33             3240        0.004113         2.9e+05        1
   34             3335        0.004112         2.5e+05        0
   35             3430        0.003768         2.4e+05        0
   36             3525        0.003671         2.8e+05        0
   37             3620        0.003604         3.8e+05        0
   38             3715        0.003515         3.9e+05        0
   39             3810        0.003515         2.4e+05        1
   40             3905        0.003515         2.7e+05        2
   41             4000        0.003377         3.5e+05        0
   42             4095        0.003369         3.1e+05        0
   43             4190        0.003135         2.2e+05        0
   44             4285        0.003135         1.9e+05        1
   45             4380        0.003012         2.1e+05        0
   46             4475        0.002855         1.8e+05        0
   47             4570        0.002833           1e+05        0
   48             4665        0.002833           6e+04        1
   49             4760        0.002714         1.7e+05        0
   50             4855        0.002702           1e+05        0
   51             4950        0.002701           7e+04        0
   52             5045        0.002701           4e+04        1
   53             5140        0.002701         1.3e+05        2
   54             5235        0.002701         2.1e+05        3
   55             5330        0.002701         2.9e+05        4
   56             5425        0.002701         2.6e+05        5
   57             5520        0.002701         2.7e+05        6
   58             5615        0.002701         2.2e+05        7
   59             5710        0.002683         1.8e+05        0
   60             5805        0.002683         1.6e+05        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61             5900        0.002683         1.4e+05        2
   62             5995        0.002683         1.2e+05        0
   63             6090        0.002683           1e+05        1
   64             6185        0.002371           6e+04        0
   65             6280        0.001856           4e+04        0
   66             6375        0.001856           7e+04        1
   67             6470        0.001856           8e+04        2
   68             6565        0.001842           5e+04        0
   69             6660        0.001512         1.2e+05        0
   70             6755        0.001512         1.1e+05        1
   71             6850        0.001512         1.3e+05        2
   72             6945        0.001504           9e+04        0
   73             7040        0.001431           8e+04        0
Optimization terminated: minimum fitness limit reached.
